Date,Value
2013-12-31,53259018.0
2012-12-31,52797319.0
2011-12-31,52350763.0
2010-12-31,51931231.0
2009-12-31,51540490.0
2008-12-31,51174018.0
2007-12-31,50828959.0
2006-12-31,50500070.0
2005-12-31,50181020.0
2004-12-31,49875169.0
2003-12-31,49577152.0
2002-12-31,49261313.0
2001-12-31,48894203.0
2000-12-31,48453000.0
1999-12-31,47925630.0
1998-12-31,47321204.0
1997-12-31,46664455.0
1996-12-31,45991828.0
1995-12-31,45329862.0
1994-12-31,44686091.0
1993-12-31,44052710.0
1992-12-31,43422423.0
1991-12-31,42782387.0
1990-12-31,42123003.0
1989-12-31,41445433.0
1988-12-31,40753329.0
1987-12-31,40042444.0
1986-12-31,39307611.0
1985-12-31,38546211.0
1984-12-31,37756446.0
1983-12-31,36942428.0
1982-12-31,36114948.0
1981-12-31,35288662.0
1980-12-31,34474755.0
1979-12-31,33677496.0
1978-12-31,32896129.0
1977-12-31,32130628.0
1976-12-31,31379211.0
1975-12-31,30640635.0
1974-12-31,29916891.0
1973-12-31,29209751.0
1972-12-31,28517301.0
1971-12-31,27836624.0
1970-12-31,27166045.0
1969-12-31,26504295.0
1968-12-31,25853304.0
1967-12-31,25218411.0
1966-12-31,24606874.0
1965-12-31,24023640.0
1964-12-31,23471163.0
1963-12-31,22947286.0
1962-12-31,22446690.0
1961-12-31,21961594.0
1960-12-31,21486424.0
