Date,Value
2013-12-31,621383.0
2012-12-31,621081.0
2011-12-31,620644.0
2010-12-31,620078.0
2009-12-31,619408.0
2008-12-31,618649.0
2007-12-31,617800.0
2006-12-31,616854.0
2005-12-31,615820.0
2004-12-31,614670.0
2003-12-31,613448.0
2002-12-31,612325.0
2001-12-31,611525.0
2000-12-31,611196.0
1999-12-31,611367.0
1998-12-31,611947.0
1997-12-31,612812.0
1996-12-31,613774.0
1995-12-31,614669.0
1994-12-31,615521.0
1993-12-31,616282.0
1992-12-31,616630.0
1991-12-31,616158.0
1990-12-31,614601.0
1989-12-31,611773.0
1988-12-31,607814.0
1987-12-31,603201.0
1986-12-31,598606.0
1985-12-31,594509.0
1984-12-31,591105.0
1983-12-31,588228.0
1982-12-31,585565.0
1981-12-31,582632.0
1980-12-31,579088.0
1979-12-31,574840.0
1978-12-31,570038.0
1977-12-31,564887.0
1976-12-31,559690.0
1975-12-31,554670.0
1974-12-31,549882.0
1973-12-31,545254.0
1972-12-31,540724.0
1971-12-31,536185.0
1970-12-31,531555.0
1969-12-31,526808.0
1968-12-31,521962.0
1967-12-31,517026.0
1966-12-31,512020.0
1965-12-31,506949.0
1964-12-31,501813.0
1963-12-31,496566.0
1962-12-31,491111.0
1961-12-31,485319.0
1960-12-31,479099.0
