Date,Value
2013-12-31,2839073.0
2012-12-31,2796484.0
2011-12-31,2754209.0
2010-12-31,2712738.0
2009-12-31,2672223.0
2008-12-31,2632834.0
2007-12-31,2595068.0
2006-12-31,2559496.0
2005-12-31,2526502.0
2004-12-31,2496248.0
2003-12-31,2468595.0
2002-12-31,2443231.0
2001-12-31,2419669.0
2000-12-31,2397473.0
1999-12-31,2376197.0
1998-12-31,2355618.0
1997-12-31,2335723.0
1996-12-31,2316598.0
1995-12-31,2298063.0
1994-12-31,2280519.0
1993-12-31,2263224.0
1992-12-31,2243525.0
1991-12-31,2217937.0
1990-12-31,2184159.0
1989-12-31,2141016.0
1988-12-31,2089721.0
1987-12-31,2033347.0
1986-12-31,1976309.0
1985-12-31,1921881.0
1984-12-31,1871083.0
1983-12-31,1823211.0
1982-12-31,1777724.0
1981-12-31,1733477.0
1980-12-31,1689621.0
1979-12-31,1646290.0
1978-12-31,1603907.0
1977-12-31,1562211.0
1976-12-31,1520864.0
1975-12-31,1479648.0
1974-12-31,1438421.0
1973-12-31,1397302.0
1972-12-31,1356666.0
1971-12-31,1317044.0
1970-12-31,1278820.0
1969-12-31,1242208.0
1968-12-31,1207102.0
1967-12-31,1173180.0
1966-12-31,1139955.0
1965-12-31,1107119.0
1964-12-31,1074511.0
1963-12-31,1042377.0
1962-12-31,1011322.0
1961-12-31,982174.0
1960-12-31,955508.0
