Date,Value
2013-12-31,25833752.0
2012-12-31,25203395.0
2011-12-31,24581367.0
2010-12-31,23967265.0
2009-12-31,23361025.0
2008-12-31,22762525.0
2007-12-31,22171404.0
2006-12-31,21587317.0
2005-12-31,21010376.0
2004-12-31,20438827.0
2003-12-31,19873460.0
2002-12-31,19319894.0
2001-12-31,18785719.0
2000-12-31,18275618.0
1999-12-31,17798102.0
1998-12-31,17350739.0
1997-12-31,16914628.0
1996-12-31,16463426.0
1995-12-31,15981571.0
1994-12-31,15453464.0
1993-12-31,14893218.0
1992-12-31,14350459.0
1991-12-31,13893546.0
1990-12-31,13567959.0
1989-12-31,13394656.0
1988-12-31,13348965.0
1987-12-31,13374618.0
1986-12-31,13390888.0
1985-12-31,13338850.0
1984-12-31,13200833.0
1983-12-31,12992559.0
1982-12-31,12729259.0
1981-12-31,12438624.0
1980-12-31,12142014.0
1979-12-31,11840048.0
1978-12-31,11527369.0
1977-12-31,11213159.0
1976-12-31,10908161.0
1975-12-31,10620260.0
1974-12-31,10354300.0
1973-12-31,10109853.0
1972-12-31,9882718.0
1971-12-31,9665673.0
1970-12-31,9453375.0
1969-12-31,9245227.0
1968-12-31,9043116.0
1967-12-31,8846984.0
1966-12-31,8657157.0
1965-12-31,8473847.0
1964-12-31,8296721.0
1963-12-31,8125367.0
1962-12-31,7959881.0
1961-12-31,7800474.0
1960-12-31,7647284.0
