Date,Value
2013-12-31,3889880.0
2012-12-31,3796141.0
2011-12-31,3702763.0
2010-12-31,3609420.0
2009-12-31,3516077.0
2008-12-31,3422901.0
2007-12-31,3330037.0
2006-12-31,3237713.0
2005-12-31,3146164.0
2004-12-31,3055425.0
2003-12-31,2965667.0
2002-12-31,2877431.0
2001-12-31,2791403.0
2000-12-31,2708095.0
1999-12-31,2627739.0
1998-12-31,2550307.0
1997-12-31,2475726.0
1996-12-31,2403805.0
1995-12-31,2334388.0
1994-12-31,2267433.0
1993-12-31,2202966.0
1992-12-31,2140957.0
1991-12-31,2081380.0
1990-12-31,2024163.0
1989-12-31,1969295.0
1988-12-31,1916611.0
1987-12-31,1865686.0
1986-12-31,1815983.0
1985-12-31,1767099.0
1984-12-31,1718837.0
1983-12-31,1671233.0
1982-12-31,1624427.0
1981-12-31,1578670.0
1980-12-31,1534141.0
1979-12-31,1490842.0
1978-12-31,1448677.0
1977-12-31,1407619.0
1976-12-31,1367629.0
1975-12-31,1328672.0
1974-12-31,1290741.0
1973-12-31,1253831.0
1972-12-31,1217914.0
1971-12-31,1182958.0
1970-12-31,1148936.0
1969-12-31,1115834.0
1968-12-31,1083646.0
1967-12-31,1052360.0
1966-12-31,1021972.0
1965-12-31,992474.0
1964-12-31,963865.0
1963-12-31,936144.0
1962-12-31,909310.0
1961-12-31,883366.0
1960-12-31,858316.0
