Date,Value
2013-12-31,1296303.0
2012-12-31,1291167.0
2011-12-31,1286051.0
2010-12-31,1280924.0
2009-12-31,1275032.0
2008-12-31,1268565.0
2007-12-31,1260403.0
2006-12-31,1252698.0
2005-12-31,1243253.0
2004-12-31,1233386.0
2003-12-31,1222811.0
2002-12-31,1210196.0
2001-12-31,1199881.0
2000-12-31,1186873.0
1999-12-31,1175267.0
1998-12-31,1160421.0
1997-12-31,1148284.0
1996-12-31,1133996.0
1995-12-31,1122457.0
1994-12-31,1112846.0
1993-12-31,1097374.0
1992-12-31,1084441.0
1991-12-31,1070266.0
1990-12-31,1058775.0
1989-12-31,1048921.0
1988-12-31,1040841.0
1987-12-31,1032760.0
1986-12-31,1024680.0
1985-12-31,1016000.0
1984-12-31,1009233.0
1983-12-31,1000804.0
1982-12-31,990754.0
1981-12-31,979133.0
1980-12-31,966000.0
1979-12-31,951419.0
1978-12-31,936435.0
1977-12-31,921379.0
1976-12-31,906507.0
1975-12-31,892000.0
1974-12-31,878042.0
1973-12-31,864819.0
1972-12-31,852053.0
1971-12-31,839230.0
1970-12-31,826000.0
1969-12-31,812405.0
1968-12-31,798413.0
1967-12-31,783917.0
1966-12-31,768813.0
1965-12-31,753000.0
1964-12-31,736381.0
1963-12-31,718861.0
1962-12-31,700349.0
1961-12-31,680757.0
1960-12-31,659351.0
