Date,Value
2013-12-31,16362567.0
2012-12-31,15906483.0
2011-12-31,15457531.0
2010-12-31,15013694.0
2009-12-31,14573338.0
2008-12-31,14138207.0
2007-12-31,13713758.0
2006-12-31,13307535.0
2005-12-31,12924746.0
2004-12-31,12569091.0
2003-12-31,12238739.0
2002-12-31,11926778.0
2001-12-31,11623166.0
2000-12-31,11321496.0
1999-12-31,11012707.0
1998-12-31,10700180.0
1997-12-31,10404259.0
1996-12-31,10153315.0
1995-12-31,9964065.0
1994-12-31,9851737.0
1993-12-31,9800635.0
1992-12-31,9759434.0
1991-12-31,9657518.0
1990-12-31,9447123.0
1989-12-31,9105429.0
1988-12-31,8655185.0
1987-12-31,8150040.0
1986-12-31,7667832.0
1985-12-31,7264519.0
1984-12-31,6958278.0
1983-12-31,6731171.0
1982-12-31,6559281.0
1981-12-31,6403934.0
1980-12-31,6236824.0
1979-12-31,6052940.0
1978-12-31,5862115.0
1977-12-31,5668178.0
1976-12-31,5478781.0
1975-12-31,5299532.0
1974-12-31,5129915.0
1973-12-31,4967159.0
1972-12-31,4812216.0
1971-12-31,4666194.0
1970-12-31,4529749.0
1969-12-31,4403344.0
1968-12-31,4286430.0
1967-12-31,4177347.0
1966-12-31,4073777.0
1965-12-31,3973960.0
1964-12-31,3877229.0
1963-12-31,3783766.0
1962-12-31,3693680.0
1961-12-31,3607383.0
1960-12-31,3525127.0
