Date,Value
2013-12-31,29716965.0
2012-12-31,29239927.0
2011-12-31,28758968.0
2010-12-31,28275835.0
2009-12-31,27790324.0
2008-12-31,27302348.0
2007-12-31,26813819.0
2006-12-31,26327098.0
2005-12-31,25843466.0
2004-12-31,25365089.0
2003-12-31,24890654.0
2002-12-31,24413795.0
2001-12-31,23925742.0
2000-12-31,23420751.0
1999-12-31,22896048.0
1998-12-31,22355057.0
1997-12-31,21805835.0
1996-12-31,21259831.0
1995-12-31,20725374.0
1994-12-31,20206546.0
1993-12-31,19701410.0
1992-12-31,19205112.0
1991-12-31,18709963.0
1990-12-31,18211097.0
1989-12-31,17707064.0
1988-12-31,17202032.0
1987-12-31,16703500.0
1986-12-31,16221767.0
1985-12-31,15764340.0
1984-12-31,15333369.0
1983-12-31,14926976.0
1982-12-31,14543585.0
1981-12-31,14180093.0
1980-12-31,13833739.0
1979-12-31,13504433.0
1978-12-31,13191699.0
1977-12-31,12891715.0
1976-12-31,12599655.0
1975-12-31,12311782.0
1974-12-31,12025930.0
1973-12-31,11741849.0
1972-12-31,11460080.0
1971-12-31,11182078.0
1970-12-31,10908634.0
1969-12-31,10640347.0
1968-12-31,10375877.0
1967-12-31,10111920.0
1966-12-31,9844116.0
1965-12-31,9569784.0
1964-12-31,9287442.0
1963-12-31,8999247.0
1962-12-31,8710678.0
1961-12-31,8429369.0
1960-12-31,8160975.0
