Date,Value
2013-12-31,2303315.0
2012-12-31,2259393.0
2011-12-31,2217618.0
2010-12-31,2178967.0
2009-12-31,2143498.0
2008-12-31,2110791.0
2007-12-31,2080700.0
2006-12-31,2052931.0
2005-12-31,2027026.0
2004-12-31,2003320.0
2003-12-31,1981237.0
2002-12-31,1958303.0
2001-12-31,1931282.0
2000-12-31,1897953.0
1999-12-31,1857149.0
1998-12-31,1809719.0
1997-12-31,1757969.0
1996-12-31,1705309.0
1995-12-31,1654214.0
1994-12-31,1605828.0
1993-12-31,1559480.0
1992-12-31,1513689.0
1991-12-31,1466152.0
1990-12-31,1415447.0
1989-12-31,1360921.0
1988-12-31,1303879.0
1987-12-31,1247186.0
1986-12-31,1194769.0
1985-12-31,1149389.0
1984-12-31,1112044.0
1983-12-31,1081740.0
1982-12-31,1056758.0
1981-12-31,1034446.0
1980-12-31,1012761.0
1979-12-31,991365.0
1978-12-31,970569.0
1977-12-31,949734.0
1976-12-31,928228.0
1975-12-31,905647.0
1974-12-31,881530.0
1973-12-31,855965.0
1972-12-31,829806.0
1971-12-31,804309.0
1970-12-31,780386.0
1969-12-31,758305.0
1968-12-31,737802.0
1967-12-31,718622.0
1966-12-31,700316.0
1965-12-31,682553.0
1964-12-31,665297.0
1963-12-31,648668.0
1962-12-31,632658.0
1961-12-31,617282.0
1960-12-31,602545.0
