Date,Value
2013-12-31,17831270.0
2012-12-31,17157042.0
2011-12-31,16511462.0
2010-12-31,15893746.0
2009-12-31,15302948.0
2008-12-31,14737895.0
2007-12-31,14197289.0
2006-12-31,13679705.0
2005-12-31,13183798.0
2004-12-31,12708897.0
2003-12-31,12254040.0
2002-12-31,11817297.0
2001-12-31,11396434.0
2000-12-31,10989815.0
1999-12-31,10596258.0
1998-12-31,10215806.0
1997-12-31,9849621.0
1996-12-31,9499605.0
1995-12-31,9167078.0
1994-12-31,8851763.0
1993-12-31,8552812.0
1992-12-31,8270248.0
1991-12-31,8004058.0
1990-12-31,7753907.0
1989-12-31,7519642.0
1988-12-31,7300220.0
1987-12-31,7093264.0
1986-12-31,6895733.0
1985-12-31,6705210.0
1984-12-31,6520599.0
1983-12-31,6341634.0
1982-12-31,6167768.0
1981-12-31,5998722.0
1980-12-31,5834248.0
1979-12-31,5673727.0
1978-12-31,5516743.0
1977-12-31,5363565.0
1976-12-31,5214731.0
1975-12-31,5070583.0
1974-12-31,4931095.0
1973-12-31,4795926.0
1972-12-31,4664739.0
1971-12-31,4537090.0
1970-12-31,4412638.0
1969-12-31,4291280.0
1968-12-31,4173030.0
1967-12-31,4057818.0
1966-12-31,3945602.0
1965-12-31,3836373.0
1964-12-31,3729912.0
1963-12-31,3626224.0
1962-12-31,3525797.0
1961-12-31,3429301.0
1960-12-31,3337141.0
