Date,Value
2013-12-31,173615345.0
2012-12-31,168833776.0
2011-12-31,164192925.0
2010-12-31,159707780.0
2009-12-31,155381020.0
2008-12-31,151208080.0
2007-12-31,147187353.0
2006-12-31,143314909.0
2005-12-31,139585891.0
2004-12-31,135999250.0
2003-12-31,132550146.0
2002-12-31,129224641.0
2001-12-31,126004992.0
2000-12-31,122876727.0
1999-12-31,119831888.0
1998-12-31,116867371.0
1997-12-31,113979481.0
1996-12-31,111166210.0
1995-12-31,108424827.0
1994-12-31,105752796.0
1993-12-31,103144749.0
1992-12-31,100592242.0
1991-12-31,98085373.0
1990-12-31,95617350.0
1989-12-31,93179760.0
1988-12-31,90773617.0
1987-12-31,88412920.0
1986-12-31,86118046.0
1985-12-31,83901572.0
1984-12-31,81775217.0
1983-12-31,79729313.0
1982-12-31,77729805.0
1981-12-31,75729574.0
1980-12-31,73698099.0
1979-12-31,71619219.0
1978-12-31,69512236.0
1977-12-31,67425439.0
1976-12-31,65426979.0
1975-12-31,63565601.0
1974-12-31,61857025.0
1973-12-31,60285455.0
1972-12-31,58829321.0
1971-12-31,57453735.0
1970-12-31,56131845.0
1969-12-31,54859202.0
1968-12-31,53640549.0
1967-12-31,52468594.0
1966-12-31,51336376.0
1965-12-31,50238570.0
1964-12-31,49169820.0
1963-12-31,48128461.0
1962-12-31,47117859.0
1961-12-31,46144154.0
1960-12-31,45211614.0
