Date,Value
2013-12-31,6080478.0
2012-12-31,5991733.0
2011-12-31,5905146.0
2010-12-31,5822209.0
2009-12-31,5743329.0
2008-12-31,5667983.0
2007-12-31,5595533.0
2006-12-31,5524927.0
2005-12-31,5455219.0
2004-12-31,5386299.0
2003-12-31,5317878.0
2002-12-31,5248577.0
2001-12-31,5176685.0
2000-12-31,5100920.0
1999-12-31,5021079.0
1998-12-31,4937320.0
1997-12-31,4849272.0
1996-12-31,4756631.0
1995-12-31,4659458.0
1994-12-31,4557125.0
1993-12-31,4450371.0
1992-12-31,4342319.0
1991-12-31,4237154.0
1990-12-31,4137788.0
1989-12-31,4045623.0
1988-12-31,3959636.0
1987-12-31,3877325.0
1986-12-31,3794923.0
1985-12-31,3709708.0
1984-12-31,3621067.0
1983-12-31,3529935.0
1982-12-31,3437017.0
1981-12-31,3343536.0
1980-12-31,3250470.0
1979-12-31,3157930.0
1978-12-31,3065820.0
1977-12-31,2974713.0
1976-12-31,2885281.0
1975-12-31,2798048.0
1974-12-31,2713287.0
1973-12-31,2631065.0
1972-12-31,2551425.0
1971-12-31,2474312.0
1970-12-31,2399677.0
1969-12-31,2327542.0
1968-12-31,2257923.0
1967-12-31,2190718.0
1966-12-31,2125773.0
1965-12-31,2062932.0
1964-12-31,2002244.0
1963-12-31,1943602.0
1962-12-31,1886504.0
1961-12-31,1830304.0
1960-12-31,1774574.0
