Date,Value
2013-12-31,16804224.0
2012-12-31,16754962.0
2011-12-31,16693074.0
2010-12-31,16615394.0
2009-12-31,16530388.0
2008-12-31,16445593.0
2007-12-31,16381696.0
2006-12-31,16346101.0
2005-12-31,16319868.0
2004-12-31,16281779.0
2003-12-31,16225302.0
2002-12-31,16148929.0
2001-12-31,16046180.0
2000-12-31,15925513.0
1999-12-31,15812088.0
1998-12-31,15707209.0
1997-12-31,15610650.0
1996-12-31,15530498.0
1995-12-31,15459006.0
1994-12-31,15382838.0
1993-12-31,15290368.0
1992-12-31,15184166.0
1991-12-31,15069798.0
1990-12-31,14951510.0
1989-12-31,14848907.0
1988-12-31,14760094.0
1987-12-31,14665037.0
1986-12-31,14572278.0
1985-12-31,14491632.0
1984-12-31,14424211.0
1983-12-31,14367070.0
1982-12-31,14312690.0
1981-12-31,14247208.0
1980-12-31,14149800.0
1979-12-31,14038270.0
1978-12-31,13941700.0
1977-12-31,13856185.0
1976-12-31,13774037.0
1975-12-31,13666335.0
1974-12-31,13545056.0
1973-12-31,13439322.0
1972-12-31,13328593.0
1971-12-31,13194497.0
1970-12-31,13038526.0
1969-12-31,12877984.0
1968-12-31,12729721.0
1967-12-31,12598201.0
1966-12-31,12456251.0
1965-12-31,12294732.0
1964-12-31,12127120.0
1963-12-31,11965966.0
1962-12-31,11805689.0
1961-12-31,11638712.0
1960-12-31,11486631.0
