Date,Value
2013-12-31,5084190.0
2012-12-31,5018573.0
2011-12-31,4953088.0
2010-12-31,4889252.0
2009-12-31,4828726.0
2008-12-31,4768212.0
2007-12-31,4709153.0
2006-12-31,4660677.0
2005-12-31,4623291.0
2004-12-31,4591910.0
2003-12-31,4564855.0
2002-12-31,4538159.0
2001-12-31,4513751.0
2000-12-31,4490967.0
1999-12-31,4461913.0
1998-12-31,4431464.0
1997-12-31,4405157.0
1996-12-31,4381336.0
1995-12-31,4359184.0
1994-12-31,4336613.0
1993-12-31,4311991.0
1992-12-31,4286401.0
1991-12-31,4261732.0
1990-12-31,4241473.0
1989-12-31,4226901.0
1988-12-31,4209488.0
1987-12-31,4186905.0
1986-12-31,4167354.0
1985-12-31,4152516.0
1984-12-31,4140099.0
1983-12-31,4128432.0
1982-12-31,4114787.0
1981-12-31,4099702.0
1980-12-31,4085620.0
1979-12-31,4072517.0
1978-12-31,4058671.0
1977-12-31,4043205.0
1976-12-31,4026152.0
1975-12-31,4007313.0
1974-12-31,3985258.0
1973-12-31,3960612.0
1972-12-31,3933004.0
1971-12-31,3903039.0
1970-12-31,3875763.0
1969-12-31,3847707.0
1968-12-31,3816486.0
1967-12-31,3784539.0
1966-12-31,3753012.0
1965-12-31,3723168.0
1964-12-31,3694339.0
1963-12-31,3666537.0
1962-12-31,3638918.0
1961-12-31,3609800.0
1960-12-31,3581239.0
