Date,Value
2013-12-31,27797457.0
2012-12-31,27474377.0
2011-12-31,27156367.0
2010-12-31,26846016.0
2009-12-31,26544943.0
2008-12-31,26249412.0
2007-12-31,25950022.0
2006-12-31,25634043.0
2005-12-31,25292058.0
2004-12-31,24921910.0
2003-12-31,24525527.0
2002-12-31,24102862.0
2001-12-31,23655119.0
2000-12-31,23184177.0
1999-12-31,22690158.0
1998-12-31,22175431.0
1997-12-31,21647305.0
1996-12-31,21115271.0
1995-12-31,20587157.0
1994-12-31,20065413.0
1993-12-31,19551500.0
1992-12-31,19050879.0
1991-12-31,18569445.0
1990-12-31,18111200.0
1989-12-31,17679536.0
1988-12-31,17273606.0
1987-12-31,16887696.0
1986-12-31,16513244.0
1985-12-31,16143975.0
1984-12-31,15778051.0
1983-12-31,15417207.0
1982-12-31,15062998.0
1981-12-31,14718228.0
1980-12-31,14384864.0
1979-12-31,14063010.0
1978-12-31,13751522.0
1977-12-31,13449680.0
1976-12-31,13156441.0
1975-12-31,12871016.0
1974-12-31,12593223.0
1973-12-31,12323203.0
1972-12-31,12060891.0
1971-12-31,11806296.0
1970-12-31,11559455.0
1969-12-31,11320100.0
1968-12-31,11088215.0
1967-12-31,10864396.0
1966-12-31,10649467.0
1965-12-31,10443932.0
1964-12-31,10247834.0
1963-12-31,10060686.0
1962-12-31,9881783.0
1961-12-31,9710150.0
1960-12-31,9544938.0
