Date,Value
2013-12-31,4470800.0
2012-12-31,4433000.0
2011-12-31,4405200.0
2010-12-31,4367800.0
2009-12-31,4315800.0
2008-12-31,4268900.0
2007-12-31,4228300.0
2006-12-31,4184600.0
2005-12-31,4133900.0
2004-12-31,4087500.0
2003-12-31,4027200.0
2002-12-31,3948500.0
2001-12-31,3880500.0
2000-12-31,3857700.0
1999-12-31,3835100.0
1998-12-31,3815000.0
1997-12-31,3781300.0
1996-12-31,3732000.0
1995-12-31,3673400.0
1994-12-31,3620000.0
1993-12-31,3572200.0
1992-12-31,3531700.0
1991-12-31,3495100.0
1990-12-31,3329800.0
1989-12-31,3299200.0
1988-12-31,3283400.0
1987-12-31,3274400.0
1986-12-31,3246300.0
1985-12-31,3247100.0
1984-12-31,3227100.0
1983-12-31,3199300.0
1982-12-31,3156100.0
1981-12-31,3124900.0
1980-12-31,3112900.0
1979-12-31,3109000.0
1978-12-31,3121200.0
1977-12-31,3120200.0
1976-12-31,3110500.0
1975-12-31,3083100.0
1974-12-31,3023700.0
1973-12-31,2961300.0
1972-12-31,2903900.0
1971-12-31,2853000.0
1970-12-31,2810700.0
1969-12-31,2772800.0
1968-12-31,2748100.0
1967-12-31,2724100.0
1966-12-31,2675900.0
1965-12-31,2628400.0
1964-12-31,2585400.0
1963-12-31,2531800.0
1962-12-31,2482000.0
1961-12-31,2419700.0
1960-12-31,2371800.0
