Date,Value
2013-12-31,3632444.0
2012-12-31,3314001.0
2011-12-31,3024774.0
2010-12-31,2802768.0
2009-12-31,2663224.0
2008-12-31,2593523.0
2007-12-31,2569739.0
2006-12-31,2554905.0
2005-12-31,2522325.0
2004-12-31,2464001.0
2003-12-31,2389121.0
2002-12-31,2308409.0
2001-12-31,2239025.0
2000-12-31,2192535.0
1999-12-31,2172287.0
1998-12-31,2171135.0
1997-12-31,2177723.0
1996-12-31,2175998.0
1995-12-31,2154600.0
1994-12-31,2109246.0
1993-12-31,2043912.0
1992-12-31,1965586.0
1991-12-31,1885036.0
1990-12-31,1810103.0
1989-12-31,1742950.0
1988-12-31,1681070.0
1987-12-31,1622123.0
1986-12-31,1562144.0
1985-12-31,1498416.0
1984-12-31,1430680.0
1983-12-31,1360637.0
1982-12-31,1289842.0
1981-12-31,1220512.0
1980-12-31,1154375.0
1979-12-31,1091831.0
1978-12-31,1032772.0
1977-12-31,977788.0
1976-12-31,927433.0
1975-12-31,882044.0
1974-12-31,841947.0
1973-12-31,806989.0
1972-12-31,776379.0
1971-12-31,748971.0
1970-12-31,723850.0
1969-12-31,700729.0
1968-12-31,679593.0
1967-12-31,660117.0
1966-12-31,642005.0
1965-12-31,625007.0
1964-12-31,608889.0
1963-12-31,593504.0
1962-12-31,578825.0
1961-12-31,564895.0
1960-12-31,551737.0
