Date,Value
2013-12-31,182142594.0
2012-12-31,179160111.0
2011-12-31,176166353.0
2010-12-31,173149306.0
2009-12-31,170093999.0
2008-12-31,167008083.0
2007-12-31,163928329.0
2006-12-31,160905794.0
2005-12-31,157971415.0
2004-12-31,155151394.0
2003-12-31,152419974.0
2002-12-31,149693684.0
2001-12-31,146857081.0
2000-12-31,143832014.0
1999-12-31,140580398.0
1998-12-31,137139290.0
1997-12-31,133597492.0
1996-12-31,130083700.0
1995-12-31,126689577.0
1994-12-31,123450933.0
1993-12-31,120336722.0
1992-12-31,117291344.0
1991-12-31,114229172.0
1990-12-31,111090879.0
1989-12-31,107865403.0
1988-12-31,104583470.0
1987-12-31,101278129.0
1986-12-31,97998462.0
1985-12-31,94783463.0
1984-12-31,91643160.0
1983-12-31,88577077.0
1982-12-31,85601555.0
1981-12-31,82733080.0
1980-12-31,79984297.0
1979-12-31,77362155.0
1978-12-31,74868889.0
1977-12-31,72505126.0
1976-12-31,70268556.0
1975-12-31,68155252.0
1974-12-31,66167072.0
1973-12-31,64299241.0
1972-12-31,62532284.0
1971-12-31,60840513.0
1970-12-31,59204212.0
1969-12-31,57615471.0
1968-12-31,56074840.0
1967-12-31,54581657.0
1966-12-31,53138320.0
1965-12-31,51746670.0
1964-12-31,50404401.0
1963-12-31,49109360.0
1962-12-31,47864343.0
1961-12-31,46673627.0
1960-12-31,45540594.0
