Date,Value
2013-12-31,3864170.0
2012-12-31,3802281.0
2011-12-31,3740282.0
2010-12-31,3678128.0
2009-12-31,3615846.0
2008-12-31,3553480.0
2007-12-31,3491034.0
2006-12-31,3428509.0
2005-12-31,3365929.0
2004-12-31,3303335.0
2003-12-31,3240805.0
2002-12-31,3178450.0
2001-12-31,3116409.0
2000-12-31,3054812.0
1999-12-31,2993685.0
1998-12-31,2933100.0
1997-12-31,2873288.0
1996-12-31,2814525.0
1995-12-31,2757004.0
1994-12-31,2700823.0
1993-12-31,2645922.0
1992-12-31,2592117.0
1991-12-31,2539140.0
1990-12-31,2486776.0
1989-12-31,2434964.0
1988-12-31,2383722.0
1987-12-31,2333008.0
1986-12-31,2282798.0
1985-12-31,2233064.0
1984-12-31,2183773.0
1983-12-31,2134880.0
1982-12-31,2086331.0
1981-12-31,2038073.0
1980-12-31,1990062.0
1979-12-31,1942304.0
1978-12-31,1894807.0
1977-12-31,1847552.0
1976-12-31,1800516.0
1975-12-31,1753706.0
1974-12-31,1707114.0
1973-12-31,1660811.0
1972-12-31,1614985.0
1971-12-31,1569879.0
1970-12-31,1525683.0
1969-12-31,1482495.0
1968-12-31,1440312.0
1967-12-31,1399097.0
1966-12-31,1358763.0
1965-12-31,1319261.0
1964-12-31,1280601.0
1963-12-31,1242856.0
1962-12-31,1206117.0
1961-12-31,1170499.0
1960-12-31,1136090.0
