Date,Value
2013-12-31,30375603.0
2012-12-31,29987800.0
2011-12-31,29614887.0
2010-12-31,29262830.0
2009-12-31,28934303.0
2008-12-31,28625628.0
2007-12-31,28328410.0
2006-12-31,28030688.0
2005-12-31,27723281.0
2004-12-31,27403845.0
2003-12-31,27073334.0
2002-12-31,26729909.0
2001-12-31,26372358.0
2000-12-31,26000080.0
1999-12-31,25611482.0
1998-12-31,25206817.0
1997-12-31,24789855.0
1996-12-31,24365985.0
1995-12-31,23939261.0
1994-12-31,23511358.0
1993-12-31,23081735.0
1992-12-31,22649612.0
1991-12-31,22213359.0
1990-12-31,21772035.0
1989-12-31,21325690.0
1988-12-31,20875714.0
1987-12-31,20424055.0
1986-12-31,19973258.0
1985-12-31,19525200.0
1984-12-31,19081183.0
1983-12-31,18641054.0
1982-12-31,18203502.0
1981-12-31,17766418.0
1980-12-31,17328542.0
1979-12-31,16889710.0
1978-12-31,16451352.0
1977-12-31,16015737.0
1976-12-31,15585924.0
1975-12-31,15164288.0
1974-12-31,14751618.0
1973-12-31,14347881.0
1972-12-31,13953601.0
1971-12-31,13569097.0
1970-12-31,13194548.0
1969-12-31,12830677.0
1968-12-31,12477560.0
1967-12-31,12133895.0
1966-12-31,11797803.0
1965-12-31,11468043.0
1964-12-31,11144018.0
1963-12-31,10826459.0
1962-12-31,10517047.0
1961-12-31,10218174.0
1960-12-31,9931518.0
