Date,Value
2013-12-31,98393574.0
2012-12-31,96706764.0
2011-12-31,95053437.0
2010-12-31,93444322.0
2009-12-31,91886400.0
2008-12-31,90371287.0
2007-12-31,88875548.0
2006-12-31,87366573.0
2005-12-31,85821214.0
2004-12-31,84231329.0
2003-12-31,82604681.0
2002-12-31,80953652.0
2001-12-31,79297756.0
2000-12-31,77651848.0
1999-12-31,76018006.0
1998-12-31,74393147.0
1997-12-31,72780928.0
1996-12-31,71184718.0
1995-12-31,69606539.0
1994-12-31,68050807.0
1993-12-31,66517085.0
1992-12-31,64996507.0
1991-12-31,63476449.0
1990-12-31,61948688.0
1989-12-31,60410438.0
1988-12-31,58867229.0
1987-12-31,57329415.0
1986-12-31,55811616.0
1985-12-31,54324952.0
1984-12-31,52872611.0
1983-12-31,51453251.0
1982-12-31,50067906.0
1981-12-31,48716422.0
1980-12-31,47398432.0
1979-12-31,46115445.0
1978-12-31,44867695.0
1977-12-31,43651688.0
1976-12-31,42462461.0
1975-12-31,41296295.0
1974-12-31,40150999.0
1973-12-31,39026975.0
1972-12-31,37926125.0
1971-12-31,36851591.0
1970-12-31,35805060.0
1969-12-31,34787692.0
1968-12-31,33796910.0
1967-12-31,32826235.0
1966-12-31,31866972.0
1965-12-31,30913136.0
1964-12-31,29961902.0
1963-12-31,29015642.0
1962-12-31,28079991.0
1961-12-31,27163317.0
1960-12-31,26271731.0
