Date,Value
2013-12-31,7321262.0
2012-12-31,7167010.0
2011-12-31,7012977.0
2010-12-31,6858945.0
2009-12-31,6704829.0
2008-12-31,6550877.0
2007-12-31,6397623.0
2006-12-31,6245797.0
2005-12-31,6095959.0
2004-12-31,5948461.0
2003-12-31,5803302.0
2002-12-31,5660267.0
2001-12-31,5518971.0
2000-12-31,5379226.0
1999-12-31,5240941.0
1998-12-31,5104516.0
1997-12-31,4970823.0
1996-12-31,4841020.0
1995-12-31,4715929.0
1994-12-31,4595761.0
1993-12-31,4480243.0
1992-12-31,4369087.0
1991-12-31,4261797.0
1990-12-31,4157903.0
1989-12-31,4057467.0
1988-12-31,3960314.0
1987-12-31,3865448.0
1986-12-31,3771592.0
1985-12-31,3677854.0
1984-12-31,3583707.0
1983-12-31,3489402.0
1982-12-31,3395798.0
1981-12-31,3304188.0
1980-12-31,3215483.0
1979-12-31,3130125.0
1978-12-31,3047769.0
1977-12-31,2967620.0
1976-12-31,2888510.0
1975-12-31,2809692.0
1974-12-31,2730859.0
1973-12-31,2652585.0
1972-12-31,2576093.0
1971-12-31,2503073.0
1970-12-31,2434754.0
1969-12-31,2371514.0
1968-12-31,2313016.0
1967-12-31,2258876.0
1966-12-31,2208421.0
1965-12-31,2161102.0
1964-12-31,2116831.0
1963-12-31,2075629.0
1962-12-31,2037164.0
1961-12-31,2001048.0
1960-12-31,1966957.0
