Date,Value
2013-12-31,38530725.0
2012-12-31,38535873.0
2011-12-31,38534157.0
2010-12-31,38183683.0
2009-12-31,38151603.0
2008-12-31,38125759.0
2007-12-31,38120560.0
2006-12-31,38141267.0
2005-12-31,38165445.0
2004-12-31,38182222.0
2003-12-31,38204570.0
2002-12-31,38230364.0
2001-12-31,38248076.0
2000-12-31,38258629.0
1999-12-31,38660271.0
1998-12-31,38663481.0
1997-12-31,38649660.0
1996-12-31,38624370.0
1995-12-31,38594998.0
1994-12-31,38542652.0
1993-12-31,38461408.0
1992-12-31,38363667.0
1991-12-31,38246193.0
1990-12-31,38110782.0
1989-12-31,37961529.0
1988-12-31,37824487.0
1987-12-31,37668045.0
1986-12-31,37456119.0
1985-12-31,37201885.0
1984-12-31,36904134.0
1983-12-31,36571808.0
1982-12-31,36230481.0
1981-12-31,35898587.0
1980-12-31,35574150.0
1979-12-31,35247217.0
1978-12-31,34965600.0
1977-12-31,34689050.0
1976-12-31,34356300.0
1975-12-31,34015199.0
1974-12-31,33678899.0
1973-12-31,33357200.0
1972-12-31,33055650.0
1971-12-31,32783500.0
1970-12-31,32664300.0
1969-12-31,32548300.0
1968-12-31,32294655.0
1967-12-31,31987155.0
1966-12-31,31681000.0
1965-12-31,31444950.0
1964-12-31,31139450.0
1963-12-31,30712000.0
1962-12-31,30308500.0
1961-12-31,29964000.0
1960-12-31,29637450.0
