Date,Value
2013-12-31,24895480.0
2012-12-31,24763188.0
2011-12-31,24631291.0
2010-12-31,24500520.0
2009-12-31,24371865.0
2008-12-31,24243894.0
2007-12-31,24111989.0
2006-12-31,23969917.0
2005-12-31,23813333.0
2004-12-31,23639303.0
2003-12-31,23449180.0
2002-12-31,23248059.0
2001-12-31,23043449.0
2000-12-31,22840225.0
1999-12-31,22641754.0
1998-12-31,22444993.0
1997-12-31,22240833.0
1996-12-31,22016518.0
1995-12-31,21763678.0
1994-12-31,21478552.0
1993-12-31,21166238.0
1992-12-31,20838090.0
1991-12-31,20510215.0
1990-12-31,20194361.0
1989-12-31,19895397.0
1988-12-31,19610518.0
1987-12-31,19334557.0
1986-12-31,19058994.0
1985-12-31,18778106.0
1984-12-31,18488002.0
1983-12-31,18191886.0
1982-12-31,17899241.0
1981-12-31,17623339.0
1980-12-31,17372172.0
1979-12-31,17151326.0
1978-12-31,16953627.0
1977-12-31,16758831.0
1976-12-31,16539033.0
1975-12-31,16274744.0
1974-12-31,15960131.0
1973-12-31,15603005.0
1972-12-31,15214618.0
1971-12-31,14812366.0
1970-12-31,14410403.0
1969-12-31,14009171.0
1968-12-31,13608614.0
1967-12-31,13221828.0
1966-12-31,12864685.0
1965-12-31,12547526.0
1964-12-31,12282423.0
1963-12-31,12065471.0
1962-12-31,11871721.0
1961-12-31,11665593.0
1960-12-31,11424179.0
