Date,Value
2013-12-31,10459806.0
2012-12-31,10514844.0
2011-12-31,10557560.0
2010-12-31,10573100.0
2009-12-31,10568247.0
2008-12-31,10558177.0
2007-12-31,10542964.0
2006-12-31,10522288.0
2005-12-31,10503330.0
2004-12-31,10483861.0
2003-12-31,10458821.0
2002-12-31,10419631.0
2001-12-31,10362722.0
2000-12-31,10289898.0
1999-12-31,10217828.0
1998-12-31,10160196.0
1997-12-31,10108977.0
1996-12-31,10063945.0
1995-12-31,10026176.0
1994-12-31,9991525.0
1993-12-31,9964675.0
1992-12-31,9952494.0
1991-12-31,9960235.0
1990-12-31,9983218.0
1989-12-31,10005000.0
1988-12-31,10019610.0
1987-12-31,10030031.0
1986-12-31,10032734.0
1985-12-31,10023613.0
1984-12-31,9996232.0
1983-12-31,9957865.0
1982-12-31,9911771.0
1981-12-31,9851362.0
1980-12-31,9766312.0
1979-12-31,9661265.0
1978-12-31,9558250.0
1977-12-31,9455675.0
1976-12-31,9355810.0
1975-12-31,9093470.0
1974-12-31,8754365.0
1973-12-31,8633100.0
1972-12-31,8630430.0
1971-12-31,8643756.0
1970-12-31,8680431.0
1969-12-31,8757705.0
1968-12-31,8836650.0
1967-12-31,8874520.0
1966-12-31,8930990.0
1965-12-31,8998595.0
1964-12-31,9035365.0
1963-12-31,9030355.0
1962-12-31,8993985.0
1961-12-31,8929316.0
1960-12-31,8857716.0
