Date,Value
2013-12-31,6802295.0
2012-12-31,6687361.0
2011-12-31,6573097.0
2010-12-31,6459721.0
2009-12-31,6347383.0
2008-12-31,6236005.0
2007-12-31,6125285.0
2006-12-31,6014781.0
2005-12-31,5904170.0
2004-12-31,5793330.0
2003-12-31,5682350.0
2002-12-31,5571371.0
2001-12-31,5460621.0
2000-12-31,5350253.0
1999-12-31,5240321.0
1998-12-31,5130723.0
1997-12-31,5021271.0
1996-12-31,4911701.0
1995-12-31,4801834.0
1994-12-31,4691695.0
1993-12-31,4581390.0
1992-12-31,4470934.0
1991-12-31,4360358.0
1990-12-31,4249747.0
1989-12-31,4139286.0
1988-12-31,4029203.0
1987-12-31,3919708.0
1986-12-31,3811042.0
1985-12-31,3703512.0
1984-12-31,3597135.0
1983-12-31,3492295.0
1982-12-31,3390101.0
1981-12-31,3291955.0
1980-12-31,3198848.0
1979-12-31,3111140.0
1978-12-31,3028542.0
1977-12-31,2950552.0
1976-12-31,2876352.0
1975-12-31,2805232.0
1974-12-31,2737152.0
1973-12-31,2671997.0
1972-12-31,2608887.0
1971-12-31,2546729.0
1970-12-31,2484736.0
1969-12-31,2422485.0
1968-12-31,2360108.0
1967-12-31,2298083.0
1966-12-31,2237190.0
1965-12-31,2178003.0
1964-12-31,2120601.0
1963-12-31,2064802.0
1962-12-31,2010626.0
1961-12-31,1958047.0
1960-12-31,1907041.0
