Date,Value
2013-12-31,2168673.0
2012-12-31,2050514.0
2011-12-31,1910902.0
2010-12-31,1749713.0
2009-12-31,1564082.0
2008-12-31,1359114.0
2007-12-31,1152459.0
2006-12-31,967602.0
2005-12-31,821159.0
2004-12-31,720383.0
2003-12-31,660238.0
2002-12-31,629745.0
2001-12-31,611808.0
2000-12-31,593693.0
1999-12-31,572155.0
1998-12-31,550367.0
1997-12-31,529491.0
1996-12-31,512476.0
1995-12-31,501154.0
1994-12-31,495106.0
1993-12-31,491996.0
1992-12-31,489606.0
1991-12-31,485129.0
1990-12-31,476517.0
1989-12-31,463079.0
1988-12-31,445197.0
1987-12-31,423300.0
1986-12-31,398284.0
1985-12-31,371026.0
1984-12-31,341249.0
1983-12-31,309256.0
1982-12-31,277245.0
1981-12-31,248077.0
1980-12-31,223752.0
1979-12-31,205286.0
1978-12-31,192059.0
1977-12-31,182404.0
1976-12-31,173786.0
1975-12-31,164354.0
1974-12-31,153610.0
1973-12-31,142126.0
1972-12-31,130390.0
1971-12-31,119260.0
1970-12-31,109342.0
1969-12-31,100710.0
1968-12-31,93056.0
1967-12-31,86172.0
1966-12-31,79746.0
1965-12-31,73554.0
1964-12-31,67497.0
1963-12-31,61657.0
1962-12-31,56196.0
1961-12-31,51363.0
1960-12-31,47316.0
