Date,Value
2013-12-31,19963581.0
2012-12-31,20076727.0
2011-12-31,20147528.0
2010-12-31,20246871.0
2009-12-31,20367487.0
2008-12-31,20537875.0
2007-12-31,20882982.0
2006-12-31,21193760.0
2005-12-31,21319685.0
2004-12-31,21451748.0
2003-12-31,21574326.0
2002-12-31,21730496.0
2001-12-31,22131970.0
2000-12-31,22442971.0
1999-12-31,22472040.0
1998-12-31,22507344.0
1997-12-31,22553978.0
1996-12-31,22619004.0
1995-12-31,22684270.0
1994-12-31,22730211.0
1993-12-31,22763280.0
1992-12-31,22794284.0
1991-12-31,23001155.0
1990-12-31,23201835.0
1989-12-31,23161458.0
1988-12-31,23057662.0
1987-12-31,22949430.0
1986-12-31,22859269.0
1985-12-31,22755427.0
1984-12-31,22655940.0
1983-12-31,22588790.0
1982-12-31,22515389.0
1981-12-31,22415169.0
1980-12-31,22242653.0
1979-12-31,22090488.0
1978-12-31,21951464.0
1977-12-31,21756096.0
1976-12-31,21551634.0
1975-12-31,21293583.0
1974-12-31,21029429.0
1973-12-31,20835681.0
1972-12-31,20657957.0
1971-12-31,20461567.0
1970-12-31,20250398.0
1969-12-31,20009141.0
1968-12-31,19799831.0
1967-12-31,19534242.0
1966-12-31,19215450.0
1965-12-31,19031576.0
1964-12-31,18919126.0
1963-12-31,18797850.0
1962-12-31,18676550.0
1961-12-31,18555250.0
1960-12-31,18406905.0
