Date,Value
2013-12-31,143499861.0
2012-12-31,143178000.0
2011-12-31,142956460.0
2010-12-31,142385523.0
2009-12-31,141909244.0
2008-12-31,141956409.0
2007-12-31,142114903.0
2006-12-31,142487260.0
2005-12-31,143113885.0
2004-12-31,143821212.0
2003-12-31,144667468.0
2002-12-31,145408033.0
2001-12-31,145976473.0
2000-12-31,146596870.0
1999-12-31,147214777.0
1998-12-31,147670780.0
1997-12-31,147915373.0
1996-12-31,148160126.0
1995-12-31,148141000.0
1994-12-31,148336000.0
1993-12-31,148520000.0
1992-12-31,148689000.0
1991-12-31,148624000.0
1990-12-31,148292000.0
1989-12-31,147721000.0
1988-12-31,146857000.0
1987-12-31,145908000.0
1986-12-31,144894000.0
1985-12-31,143858000.0
1984-12-31,142745000.0
1983-12-31,141668000.0
1982-12-31,140823000.0
1981-12-31,139941000.0
1980-12-31,139010000.0
1979-12-31,138027000.0
1978-12-31,137060000.0
1977-12-31,136100000.0
1976-12-31,135147000.0
1975-12-31,134200000.0
1974-12-31,133432000.0
1973-12-31,132669000.0
1972-12-31,131909000.0
1971-12-31,131155000.0
1970-12-31,130404000.0
1969-12-31,129664000.0
1968-12-31,128928000.0
1967-12-31,128196000.0
1966-12-31,127468000.0
1965-12-31,126745000.0
1964-12-31,125345000.0
1963-12-31,123960000.0
1962-12-31,122591000.0
1961-12-31,121236000.0
1960-12-31,119897000.0
