Date,Value
2013-12-31,11776522.0
2012-12-31,11457801.0
2011-12-31,11144315.0
2010-12-31,10836732.0
2009-12-31,10529668.0
2008-12-31,10222961.0
2007-12-31,9928143.0
2006-12-31,9660946.0
2005-12-31,9429457.0
2004-12-31,9254379.0
2003-12-31,9126167.0
2002-12-31,8987523.0
2001-12-31,8760003.0
2000-12-31,8395577.0
1999-12-31,7853015.0
1998-12-31,7169658.0
1997-12-31,6470628.0
1996-12-31,5929575.0
1995-12-31,5663838.0
1994-12-31,5728464.0
1993-12-31,6066268.0
1992-12-31,6545100.0
1991-12-31,6973664.0
1990-12-31,7214696.0
1989-12-31,7223798.0
1988-12-31,7045785.0
1987-12-31,6740876.0
1986-12-31,6405995.0
1985-12-31,6112554.0
1984-12-31,5873794.0
1983-12-31,5666907.0
1982-12-31,5485328.0
1981-12-31,5313633.0
1980-12-31,5140786.0
1979-12-31,4968600.0
1978-12-31,4804354.0
1977-12-31,4648096.0
1976-12-31,4499767.0
1975-12-31,4359166.0
1974-12-31,4226773.0
1973-12-31,4102262.0
1972-12-31,3983659.0
1971-12-31,3868330.0
1970-12-31,3754546.0
1969-12-31,3640591.0
1968-12-31,3527260.0
1967-12-31,3418313.0
1966-12-31,3319077.0
1965-12-31,3232937.0
1964-12-31,3161719.0
1963-12-31,3102968.0
1962-12-31,3050596.0
1961-12-31,2996091.0
1960-12-31,2933424.0
