Date,Value
2013-12-31,28828870.0
2012-12-31,28287855.0
2011-12-31,27761728.0
2010-12-31,27258387.0
2009-12-31,26796375.0
2008-12-31,26366358.0
2007-12-31,25915624.0
2006-12-31,25371936.0
2005-12-31,24690067.0
2004-12-31,23839231.0
2003-12-31,22852333.0
2002-12-31,21825217.0
2001-12-31,20891594.0
2000-12-31,20144584.0
1999-12-31,19620692.0
1998-12-31,19282965.0
1997-12-31,19060850.0
1996-12-31,18848350.0
1995-12-31,18567343.0
1994-12-31,18197011.0
1993-12-31,17758096.0
1992-12-31,17263613.0
1991-12-31,16739895.0
1990-12-31,16206078.0
1989-12-31,15665086.0
1988-12-31,15107785.0
1987-12-31,14528398.0
1986-12-31,13918323.0
1985-12-31,13273786.0
1984-12-31,12592829.0
1983-12-31,11885086.0
1982-12-31,11172632.0
1981-12-31,10484746.0
1980-12-31,9843265.0
1979-12-31,9256774.0
1978-12-31,8722480.0
1977-12-31,8236583.0
1976-12-31,7790588.0
1975-12-31,7377881.0
1974-12-31,6998359.0
1973-12-31,6654009.0
1972-12-31,6342159.0
1971-12-31,6059524.0
1970-12-31,5802967.0
1969-12-31,5571166.0
1968-12-31,5362099.0
1967-12-31,5171093.0
1966-12-31,4992625.0
1965-12-31,4822502.0
1964-12-31,4657855.0
1963-12-31,4498390.0
1962-12-31,4345738.0
1961-12-31,4202984.0
1960-12-31,4072110.0
