Date,Value
2013-12-31,37964306.0
2012-12-31,37195349.0
2011-12-31,36430923.0
2010-12-31,35652002.0
2009-12-31,34853178.0
2008-12-31,34040065.0
2007-12-31,33218250.0
2006-12-31,32397535.0
2005-12-31,31585871.0
2004-12-31,30778572.0
2003-12-31,29973979.0
2002-12-31,29186427.0
2001-12-31,28434810.0
2000-12-31,27729798.0
1999-12-31,27085465.0
1998-12-31,26491253.0
1997-12-31,25903704.0
1996-12-31,25263021.0
1995-12-31,24529722.0
1994-12-31,23683211.0
1993-12-31,22745490.0
1992-12-31,21771781.0
1991-12-31,20840825.0
1990-12-31,20008804.0
1989-12-31,19295483.0
1988-12-31,18682216.0
1987-12-31,18139966.0
1986-12-31,17622954.0
1985-12-31,17097619.0
1984-12-31,16557307.0
1983-12-31,16012898.0
1982-12-31,15469003.0
1981-12-31,14935032.0
1980-12-31,14418063.0
1979-12-31,13917268.0
1978-12-31,13429688.0
1977-12-31,12958110.0
1976-12-31,12506035.0
1975-12-31,12075841.0
1974-12-31,11668674.0
1973-12-31,11283574.0
1972-12-31,10918137.0
1971-12-31,10568788.0
1970-12-31,10232758.0
1969-12-31,9909152.0
1968-12-31,9598196.0
1967-12-31,9299545.0
1966-12-31,9013112.0
1965-12-31,8738703.0
1964-12-31,8475765.0
1963-12-31,8223613.0
1962-12-31,7981797.0
1961-12-31,7749884.0
1960-12-31,7527450.0
