Date,Value
2013-12-31,14133280.0
2012-12-31,13726021.0
2011-12-31,13330737.0
2010-12-31,12950564.0
2009-12-31,12586827.0
2008-12-31,12238791.0
2007-12-31,11904974.0
2006-12-31,11582925.0
2005-12-31,11270826.0
2004-12-31,10967568.0
2003-12-31,10673535.0
2002-12-31,10390050.0
2001-12-31,10119118.0
2000-12-31,9861679.0
1999-12-31,9618564.0
1998-12-31,9387783.0
1997-12-31,9164050.0
1996-12-31,8940298.0
1995-12-31,8711528.0
1994-12-31,8475766.0
1993-12-31,8234586.0
1992-12-31,7990968.0
1991-12-31,7749606.0
1990-12-31,7514110.0
1989-12-31,7285204.0
1988-12-31,7062329.0
1987-12-31,6846349.0
1986-12-31,6638009.0
1985-12-31,6437891.0
1984-12-31,6246065.0
1983-12-31,6062681.0
1982-12-31,5888343.0
1981-12-31,5723711.0
1980-12-31,5568908.0
1979-12-31,5424642.0
1978-12-31,5289871.0
1977-12-31,5160810.0
1976-12-31,5032394.0
1975-12-31,4901053.0
1974-12-31,4765169.0
1973-12-31,4625876.0
1972-12-31,4485775.0
1971-12-31,4348862.0
1970-12-31,4218056.0
1969-12-31,4094016.0
1968-12-31,3975826.0
1967-12-31,3862964.0
1966-12-31,3754429.0
1965-12-31,3649456.0
1964-12-31,3548083.0
1963-12-31,3450567.0
1962-12-31,3356581.0
1961-12-31,3265730.0
1960-12-31,3177737.0
