Date,Value
2013-12-31,5399200.0
2012-12-31,5312400.0
2011-12-31,5183700.0
2010-12-31,5076700.0
2009-12-31,4987600.0
2008-12-31,4839400.0
2007-12-31,4588600.0
2006-12-31,4401400.0
2005-12-31,4265800.0
2004-12-31,4166700.0
2003-12-31,4114800.0
2002-12-31,4176000.0
2001-12-31,4138000.0
2000-12-31,4027900.0
1999-12-31,3958700.0
1998-12-31,3927200.0
1997-12-31,3796000.0
1996-12-31,3670700.0
1995-12-31,3524500.0
1994-12-31,3419000.0
1993-12-31,3313500.0
1992-12-31,3230700.0
1991-12-31,3135100.0
1990-12-31,3047100.0
1989-12-31,2930900.0
1988-12-31,2846100.0
1987-12-31,2774800.0
1986-12-31,2733400.0
1985-12-31,2736000.0
1984-12-31,2732200.0
1983-12-31,2681100.0
1982-12-31,2646500.0
1981-12-31,2532800.0
1980-12-31,2413900.0
1979-12-31,2383500.0
1978-12-31,2353600.0
1977-12-31,2325300.0
1976-12-31,2293300.0
1975-12-31,2262600.0
1974-12-31,2229800.0
1973-12-31,2193000.0
1972-12-31,2152400.0
1971-12-31,2112900.0
1970-12-31,2074500.0
1969-12-31,2042500.0
1968-12-31,2012000.0
1967-12-31,1977600.0
1966-12-31,1934400.0
1965-12-31,1886900.0
1964-12-31,1841600.0
1963-12-31,1795000.0
1962-12-31,1750200.0
1961-12-31,1702400.0
1960-12-31,1646400.0
