Date,Value
2013-12-31,561231.0
2012-12-31,549598.0
2011-12-31,537997.0
2010-12-31,526447.0
2009-12-31,514964.0
2008-12-31,503541.0
2007-12-31,492148.0
2006-12-31,480745.0
2005-12-31,469306.0
2004-12-31,457827.0
2003-12-31,446335.0
2002-12-31,434880.0
2001-12-31,423529.0
2000-12-31,412336.0
1999-12-31,401323.0
1998-12-31,390493.0
1997-12-31,379861.0
1996-12-31,369439.0
1995-12-31,359236.0
1994-12-31,349250.0
1993-12-31,339490.0
1992-12-31,329984.0
1991-12-31,320764.0
1990-12-31,311849.0
1989-12-31,303258.0
1988-12-31,294962.0
1987-12-31,286868.0
1986-12-31,278846.0
1985-12-31,270809.0
1984-12-31,262719.0
1983-12-31,254602.0
1982-12-31,246502.0
1981-12-31,238488.0
1980-12-31,230614.0
1979-12-31,222905.0
1978-12-31,215353.0
1977-12-31,207942.0
1976-12-31,200642.0
1975-12-31,193447.0
1974-12-31,186338.0
1973-12-31,179354.0
1972-12-31,172599.0
1971-12-31,166214.0
1970-12-31,160292.0
1969-12-31,154876.0
1968-12-31,149926.0
1967-12-31,145354.0
1966-12-31,141027.0
1965-12-31,136847.0
1964-12-31,132787.0
1963-12-31,128863.0
1962-12-31,125068.0
1961-12-31,121403.0
1960-12-31,117869.0
