Date,Value
2013-12-31,6092075.0
2012-12-31,5978727.0
2011-12-31,5865491.0
2010-12-31,5751976.0
2009-12-31,5641182.0
2008-12-31,5532139.0
2007-12-31,5416015.0
2006-12-31,5280909.0
2005-12-31,5119895.0
2004-12-31,4928175.0
2003-12-31,4712763.0
2002-12-31,4493047.0
2001-12-31,4295667.0
2000-12-31,4139757.0
1999-12-31,4030443.0
1998-12-31,3961869.0
1997-12-31,3928313.0
1996-12-31,3919708.0
1995-12-31,3927105.0
1994-12-31,3951544.0
1993-12-31,3991434.0
1992-12-31,4031730.0
1991-12-31,4053257.0
1990-12-31,4042678.0
1989-12-31,3993016.0
1988-12-31,3908478.0
1987-12-31,3800961.0
1986-12-31,3688492.0
1985-12-31,3584397.0
1984-12-31,3492174.0
1983-12-31,3408340.0
1982-12-31,3330947.0
1981-12-31,3255883.0
1980-12-31,3180237.0
1979-12-31,3104305.0
1978-12-31,3029965.0
1977-12-31,2957599.0
1976-12-31,2887735.0
1975-12-31,2820782.0
1974-12-31,2756810.0
1973-12-31,2695784.0
1972-12-31,2637861.0
1971-12-31,2583200.0
1970-12-31,2531874.0
1969-12-31,2483952.0
1968-12-31,2439310.0
1967-12-31,2397572.0
1966-12-31,2358225.0
1965-12-31,2320858.0
1964-12-31,2285313.0
1963-12-31,2251563.0
1962-12-31,2219498.0
1961-12-31,2189040.0
1960-12-31,2160111.0
