Date,Value
2013-12-31,6340454.0
2012-12-31,6297394.0
2011-12-31,6256242.0
2010-12-31,6218195.0
2009-12-31,6183484.0
2008-12-31,6151776.0
2007-12-31,6122952.0
2006-12-31,6096692.0
2005-12-31,6072538.0
2004-12-31,6050297.0
2003-12-31,6029366.0
2002-12-31,6008308.0
2001-12-31,5985299.0
2000-12-31,5958794.0
1999-12-31,5928809.0
1998-12-31,5895018.0
1997-12-31,5855226.0
1996-12-31,5806750.0
1995-12-31,5748013.0
1994-12-31,5677743.0
1993-12-31,5597322.0
1992-12-31,5511138.0
1991-12-31,5425293.0
1990-12-31,5344226.0
1989-12-31,5269378.0
1988-12-31,5199613.0
1987-12-31,5133598.0
1986-12-31,5068961.0
1985-12-31,5003828.0
1984-12-31,4938109.0
1983-12-31,4872098.0
1982-12-31,4804671.0
1981-12-31,4734486.0
1980-12-31,4660556.0
1979-12-31,4582494.0
1978-12-31,4500401.0
1977-12-31,4414427.0
1976-12-31,4324952.0
1975-12-31,4232375.0
1974-12-31,4136679.0
1973-12-31,4038088.0
1972-12-31,3937583.0
1971-12-31,3836433.0
1970-12-31,3735620.0
1969-12-31,3635882.0
1968-12-31,3537318.0
1967-12-31,3439514.0
1966-12-31,3341712.0
1965-12-31,3243557.0
1964-12-31,3144962.0
1963-12-31,3046771.0
1962-12-31,2950666.0
1961-12-31,2858859.0
1960-12-31,2772970.0
