Date,Value
2013-12-31,31448.0
2012-12-31,31247.0
2011-12-31,31048.0
2010-12-31,30861.0
2009-12-31,30698.0
2008-12-31,30549.0
2007-12-31,30377.0
2006-12-31,30130.0
2005-12-31,29775.0
2004-12-31,29290.0
2003-12-31,28700.0
2002-12-31,28064.0
2001-12-31,27467.0
2000-12-31,26969.0
1999-12-31,26594.0
1998-12-31,26321.0
1997-12-31,26114.0
1996-12-31,25914.0
1995-12-31,25680.0
1994-12-31,25402.0
1993-12-31,25093.0
1992-12-31,24766.0
1991-12-31,24441.0
1990-12-31,24135.0
1989-12-31,23847.0
1988-12-31,23571.0
1987-12-31,23304.0
1986-12-31,23041.0
1985-12-31,22776.0
1984-12-31,22514.0
1983-12-31,22255.0
1982-12-31,21989.0
1981-12-31,21706.0
1980-12-31,21397.0
1979-12-31,21053.0
1978-12-31,20681.0
1977-12-31,20311.0
1976-12-31,19986.0
1975-12-31,19732.0
1974-12-31,19563.0
1973-12-31,19464.0
1972-12-31,19394.0
1971-12-31,19299.0
1970-12-31,19136.0
1969-12-31,18895.0
1968-12-31,18588.0
1967-12-31,18228.0
1966-12-31,17839.0
1965-12-31,17440.0
1964-12-31,17033.0
1963-12-31,16616.0
1962-12-31,16197.0
1961-12-31,15787.0
1960-12-31,15393.0
