Date,Value
2013-12-31,10495583.0
2012-12-31,10195134.0
2011-12-31,9907903.0
2010-12-31,9636173.0
2009-12-31,9380854.0
2008-12-31,9140259.0
2007-12-31,8910851.0
2006-12-31,8687671.0
2005-12-31,8466938.0
2004-12-31,8249965.0
2003-12-31,8037706.0
2002-12-31,7825924.0
2001-12-31,7609265.0
2000-12-31,7385416.0
1999-12-31,7149044.0
1998-12-31,6904978.0
1997-12-31,6673254.0
1996-12-31,6481035.0
1995-12-31,6346440.0
1994-12-31,6278911.0
1993-12-31,6269244.0
1992-12-31,6294017.0
1991-12-31,6319531.0
1990-12-31,6321615.0
1989-12-31,6285456.0
1988-12-31,6217331.0
1987-12-31,6138907.0
1986-12-31,6082723.0
1985-12-31,6068425.0
1984-12-31,6113252.0
1983-12-31,6199671.0
1982-12-31,6271538.0
1981-12-31,6251730.0
1980-12-31,6089707.0
1979-12-31,5758961.0
1978-12-31,5289049.0
1977-12-31,4754149.0
1976-12-31,4259636.0
1975-12-31,3880955.0
1974-12-31,3644572.0
1973-12-31,3526527.0
1972-12-31,3490295.0
1971-12-31,3477568.0
1970-12-31,3445420.0
1969-12-31,3385414.0
1968-12-31,3311111.0
1967-12-31,3227245.0
1966-12-31,3144244.0
1965-12-31,3069558.0
1964-12-31,3002173.0
1963-12-31,2937360.0
1962-12-31,2874944.0
1961-12-31,2814683.0
1960-12-31,2756380.0
