Date,Value
2013-12-31,7163976.0
2012-12-31,7199077.0
2011-12-31,7234099.0
2010-12-31,7291436.0
2009-12-31,7320807.0
2008-12-31,7350221.0
2007-12-31,7381579.0
2006-12-31,7411569.0
2005-12-31,7440769.0
2004-12-31,7463157.0
2003-12-31,7480591.0
2002-12-31,7500031.0
2001-12-31,7503433.0
2000-12-31,7516346.0
1999-12-31,7540401.0
1998-12-31,7567745.0
1997-12-31,7649631.0
1996-12-31,7708878.0
1995-12-31,7738987.0
1994-12-31,7734639.0
1993-12-31,7699307.0
1992-12-31,7646424.0
1991-12-31,7595636.0
1990-12-31,7586000.0
