Date,Value
2013-12-31,11296173.0
2012-12-31,10837527.0
2011-12-31,10381110.0
2010-12-31,9940929.0
2009-12-31,9520571.0
2008-12-31,9118386.0
2007-12-31,8736736.0
2006-12-31,8376893.0
2005-12-31,8039351.0
2004-12-31,7730180.0
2003-12-31,7449905.0
2002-12-31,7186820.0
2001-12-31,6924455.0
2000-12-31,6652984.0
1999-12-31,6362201.0
1998-12-31,6060600.0
1997-12-31,5779278.0
1996-12-31,5561120.0
1995-12-31,5434266.0
1994-12-31,5411318.0
1993-12-31,5475424.0
1992-12-31,5588959.0
1991-12-31,5698383.0
1990-12-31,5764216.0
1989-12-31,5774680.0
1988-12-31,5738763.0
1987-12-31,5663186.0
1986-12-31,5562024.0
1985-12-31,5446452.0
1984-12-31,5315479.0
1983-12-31,5166491.0
1982-12-31,5007897.0
1981-12-31,4850393.0
1980-12-31,4701961.0
1979-12-31,4566435.0
1978-12-31,4443163.0
1977-12-31,4329970.0
1976-12-31,4222557.0
1975-12-31,4117767.0
1974-12-31,4015666.0
1973-12-31,3917741.0
1972-12-31,3823781.0
1971-12-31,3733619.0
1970-12-31,3647097.0
1969-12-31,3564043.0
1968-12-31,3484292.0
1967-12-31,3407723.0
1966-12-31,3334241.0
1965-12-31,3263767.0
1964-12-31,3196264.0
1963-12-31,3131693.0
1962-12-31,3069994.0
1961-12-31,3011113.0
1960-12-31,2955044.0
