Date,Value
2013-12-31,192993.0
2012-12-31,188098.0
2011-12-31,183177.0
2010-12-31,178228.0
2009-12-31,173240.0
2008-12-31,168253.0
2007-12-31,163390.0
2006-12-31,158806.0
2005-12-31,154615.0
2004-12-31,150842.0
2003-12-31,147455.0
2002-12-31,144447.0
2001-12-31,141783.0
2000-12-31,139428.0
1999-12-31,137396.0
1998-12-31,135650.0
1997-12-31,134029.0
1996-12-31,132323.0
1995-12-31,130378.0
1994-12-31,128135.0
1993-12-31,125628.0
1992-12-31,122929.0
1991-12-31,120154.0
1990-12-31,117395.0
1989-12-31,114647.0
1988-12-31,111894.0
1987-12-31,109211.0
1986-12-31,106684.0
1985-12-31,104371.0
1984-12-31,102325.0
1983-12-31,100515.0
1982-12-31,98802.0
1981-12-31,96991.0
1980-12-31,94953.0
1979-12-31,92622.0
1978-12-31,90058.0
1977-12-31,87407.0
1976-12-31,84874.0
1975-12-31,82607.0
1974-12-31,80679.0
1973-12-31,79038.0
1972-12-31,77543.0
1971-12-31,75992.0
1970-12-31,74251.0
1969-12-31,72240.0
1968-12-31,70040.0
1967-12-31,67874.0
1966-12-31,66057.0
1965-12-31,64797.0
1964-12-31,64209.0
1963-12-31,64181.0
1962-12-31,64429.0
1961-12-31,64549.0
1960-12-31,64255.0
