Date,Value
2013-12-31,539276.0
2012-12-31,534541.0
2011-12-31,529761.0
2010-12-31,524960.0
2009-12-31,520173.0
2008-12-31,515372.0
2007-12-31,510433.0
2006-12-31,505186.0
2005-12-31,499523.0
2004-12-31,493394.0
2003-12-31,486867.0
2002-12-31,480099.0
2001-12-31,473312.0
2000-12-31,466668.0
1999-12-31,460215.0
1998-12-31,453920.0
1997-12-31,447771.0
1996-12-31,441734.0
1995-12-31,435776.0
1994-12-31,429968.0
1993-12-31,424326.0
1992-12-31,418700.0
1991-12-31,412884.0
1990-12-31,406764.0
1989-12-31,400251.0
1988-12-31,393483.0
1987-12-31,386852.0
1986-12-31,380890.0
1985-12-31,375979.0
1984-12-31,372272.0
1983-12-31,369654.0
1982-12-31,367895.0
1981-12-31,366637.0
1980-12-31,365616.0
1979-12-31,364619.0
1978-12-31,363692.0
1977-12-31,363108.0
1976-12-31,363278.0
1975-12-31,364402.0
1974-12-31,366690.0
1973-12-31,369777.0
1972-12-31,372614.0
1971-12-31,373785.0
1970-12-31,372311.0
1969-12-31,367772.0
1968-12-31,360548.0
1967-12-31,351463.0
1966-12-31,341745.0
1965-12-31,332315.0
1964-12-31,323428.0
1963-12-31,314883.0
1962-12-31,306613.0
1961-12-31,298411.0
1960-12-31,290137.0
