Date,Value
2013-12-31,5414095.0
2012-12-31,5407579.0
2011-12-31,5398384.0
2010-12-31,5391428.0
2009-12-31,5386406.0
2008-12-31,5379233.0
2007-12-31,5374622.0
2006-12-31,5373054.0
2005-12-31,5372807.0
2004-12-31,5372280.0
2003-12-31,5373374.0
2002-12-31,5376912.0
2001-12-31,5378867.0
2000-12-31,5388720.0
1999-12-31,5396020.0
1998-12-31,5390516.0
1997-12-31,5383291.0
1996-12-31,5373361.0
1995-12-31,5361999.0
1994-12-31,5346331.0
1993-12-31,5325305.0
1992-12-31,5305016.0
1991-12-31,5303294.0
1990-12-31,5299187.0
1989-12-31,5275942.0
1988-12-31,5250596.0
1987-12-31,5222840.0
1986-12-31,5193838.0
1985-12-31,5161768.0
1984-12-31,5127097.0
1983-12-31,5091971.0
1982-12-31,5055099.0
1981-12-31,5016105.0
1980-12-31,4979815.0
1979-12-31,4938973.0
1978-12-31,4890125.0
1977-12-31,4840501.0
1976-12-31,4789507.0
1975-12-31,4739105.0
1974-12-31,4689623.0
1973-12-31,4641445.0
1972-12-31,4596622.0
1971-12-31,4557449.0
1970-12-31,4538223.0
1969-12-31,4518607.0
1968-12-31,4483915.0
1967-12-31,4449367.0
1966-12-31,4411666.0
1965-12-31,4370983.0
1964-12-31,4327341.0
1963-12-31,4282017.0
1962-12-31,4238188.0
1961-12-31,4191667.0
1960-12-31,4068095.0
