Date,Value
2013-12-31,2060484.0
2012-12-31,2057159.0
2011-12-31,2052843.0
2010-12-31,2048583.0
2009-12-31,2039669.0
2008-12-31,2021316.0
2007-12-31,2018122.0
2006-12-31,2006868.0
2005-12-31,2000474.0
2004-12-31,1997012.0
2003-12-31,1995733.0
2002-12-31,1994530.0
2001-12-31,1992060.0
2000-12-31,1988925.0
1999-12-31,1983045.0
1998-12-31,1981629.0
1997-12-31,1985956.0
1996-12-31,1988628.0
1995-12-31,1989872.0
1994-12-31,1989443.0
1993-12-31,1991746.0
1992-12-31,1996498.0
1991-12-31,1999429.0
1990-12-31,1998161.0
1989-12-31,1996351.0
1988-12-31,1995196.0
1987-12-31,1989776.0
1986-12-31,1965964.0
1985-12-31,1941641.0
1984-12-31,1932154.0
1983-12-31,1922321.0
1982-12-31,1910334.0
1981-12-31,1906531.0
1980-12-31,1901315.0
1979-12-31,1882599.0
1978-12-31,1862548.0
1977-12-31,1842377.0
1976-12-31,1820249.0
1975-12-31,1793581.0
1974-12-31,1776132.0
1973-12-31,1766697.0
1972-12-31,1752233.0
1971-12-31,1738335.0
1970-12-31,1724891.0
1969-12-31,1713874.0
1968-12-31,1704546.0
1967-12-31,1689528.0
1966-12-31,1669905.0
1965-12-31,1649160.0
1964-12-31,1632114.0
1963-12-31,1616971.0
1962-12-31,1603649.0
1961-12-31,1594131.0
1960-12-31,1584720.0
