Date,Value
2013-12-31,9592552.0
2012-12-31,9519374.0
2011-12-31,9449213.0
2010-12-31,9378126.0
2009-12-31,9298515.0
2008-12-31,9219637.0
2007-12-31,9148092.0
2006-12-31,9080505.0
2005-12-31,9029572.0
2004-12-31,8993531.0
2003-12-31,8958229.0
2002-12-31,8924958.0
2001-12-31,8895960.0
2000-12-31,8872109.0
1999-12-31,8857874.0
1998-12-31,8850974.0
1997-12-31,8846062.0
1996-12-31,8840998.0
1995-12-31,8826939.0
1994-12-31,8780745.0
1993-12-31,8718561.0
1992-12-31,8668067.0
1991-12-31,8617375.0
1990-12-31,8558835.0
1989-12-31,8492964.0
1988-12-31,8436489.0
1987-12-31,8397804.0
1986-12-31,8369829.0
1985-12-31,8350386.0
1984-12-31,8336605.0
1983-12-31,8329033.0
1982-12-31,8325263.0
1981-12-31,8320503.0
1980-12-31,8310531.0
1979-12-31,8293678.0
1978-12-31,8275599.0
1977-12-31,8251540.0
1976-12-31,8222286.0
1975-12-31,8192437.0
1974-12-31,8159955.0
1973-12-31,8136312.0
1972-12-31,8122300.0
1971-12-31,8098334.0
1970-12-31,8042801.0
1969-12-31,7968072.0
1968-12-31,7912273.0
1967-12-31,7867931.0
1966-12-31,7807797.0
1965-12-31,7733853.0
1964-12-31,7661354.0
1963-12-31,7604328.0
1962-12-31,7561588.0
1961-12-31,7519998.0
1960-12-31,7484656.0
