Date,Value
2013-12-31,1249514.0
2012-12-31,1230985.0
2011-12-31,1212159.0
2010-12-31,1193148.0
2009-12-31,1173678.0
2008-12-31,1153929.0
2007-12-31,1134977.0
2006-12-31,1118253.0
2005-12-31,1104642.0
2004-12-31,1094758.0
2003-12-31,1087929.0
2002-12-31,1082183.0
2001-12-31,1074761.0
2000-12-31,1063715.0
1999-12-31,1048151.0
1998-12-31,1028694.0
1997-12-31,1006760.0
1996-12-31,984506.0
1995-12-31,963428.0
1994-12-31,944223.0
1993-12-31,926224.0
1992-12-31,907947.0
1991-12-31,887248.0
1990-12-31,862728.0
1989-12-31,833787.0
1988-12-31,801350.0
1987-12-31,767417.0
1986-12-31,734790.0
1985-12-31,705492.0
1984-12-31,680253.0
1983-12-31,658496.0
1982-12-31,639333.0
1981-12-31,621314.0
1980-12-31,603373.0
1979-12-31,585335.0
1978-12-31,567560.0
1977-12-31,550135.0
1976-12-31,533264.0
1975-12-31,517100.0
1974-12-31,501596.0
1973-12-31,486656.0
1972-12-31,472337.0
1971-12-31,458717.0
1970-12-31,445844.0
1969-12-31,433709.0
1968-12-31,422266.0
1967-12-31,411478.0
1966-12-31,401295.0
1965-12-31,391659.0
1964-12-31,382575.0
1963-12-31,373991.0
1962-12-31,365719.0
1961-12-31,357522.0
1960-12-31,349233.0
