Date,Value
2013-12-31,89173.0
2012-12-31,88303.0
2011-12-31,87441.0
2010-12-31,89770.0
2009-12-31,87298.0
2008-12-31,86956.0
2007-12-31,85033.0
2006-12-31,84600.0
2005-12-31,82900.0
2004-12-31,82500.0
2003-12-31,82800.0
2002-12-31,83700.0
2001-12-31,81202.0
2000-12-31,81131.0
1999-12-31,80410.0
1998-12-31,78846.0
1997-12-31,77319.0
1996-12-31,76417.0
1995-12-31,75304.0
1994-12-31,73925.0
1993-12-31,72711.0
1992-12-31,71657.0
1991-12-31,70755.0
1990-12-31,70000.0
1989-12-31,69388.0
1988-12-31,68848.0
1987-12-31,68352.0
1986-12-31,67877.0
1985-12-31,67400.0
1984-12-31,66902.0
1983-12-31,66367.0
1982-12-31,65780.0
1981-12-31,65128.0
1980-12-31,64400.0
1979-12-31,63594.0
1978-12-31,62707.0
1977-12-31,61742.0
1976-12-31,60704.0
1975-12-31,59600.0
1974-12-31,58466.0
1973-12-31,57284.0
1972-12-31,56068.0
1971-12-31,54835.0
1970-12-31,53600.0
1969-12-31,52365.0
1968-12-31,51134.0
1967-12-31,49911.0
1966-12-31,48699.0
1965-12-31,47500.0
1964-12-31,46322.0
1963-12-31,45176.0
1962-12-31,44042.0
1961-12-31,42889.0
1960-12-31,41700.0
