Date,Value
2013-12-31,22845550.0
2012-12-31,22399254.0
2011-12-31,21961676.0
2010-12-31,21532647.0
2009-12-31,21031546.0
2008-12-31,20346056.0
2007-12-31,19561477.0
2006-12-31,18804914.0
2005-12-31,18167367.0
2004-12-31,17676012.0
2003-12-31,17298476.0
2002-12-31,16994676.0
2001-12-31,16700984.0
2000-12-31,16371208.0
1999-12-31,15995760.0
1998-12-31,15591261.0
1997-12-31,15168523.0
1996-12-31,14746306.0
1995-12-31,14338240.0
1994-12-31,13945646.0
1993-12-31,13562742.0
1992-12-31,13187960.0
1991-12-31,12818302.0
1990-12-31,12451539.0
1989-12-31,12088336.0
1988-12-31,11729760.0
1987-12-31,11374437.0
1986-12-31,11020570.0
1985-12-31,10667245.0
1984-12-31,10313558.0
1983-12-31,9960919.0
1982-12-31,9613572.0
1981-12-31,9277280.0
1980-12-31,8956156.0
1979-12-31,8651904.0
1978-12-31,8363346.0
1977-12-31,8088148.0
1976-12-31,7822610.0
1975-12-31,7564000.0
1974-12-31,7311685.0
1973-12-31,7066474.0
1972-12-31,6828765.0
1971-12-31,6599366.0
1970-12-31,6378802.0
1969-12-31,6166933.0
1968-12-31,5963248.0
1967-12-31,5767478.0
1966-12-31,5579283.0
1965-12-31,5398333.0
1964-12-31,5224579.0
1963-12-31,5057825.0
1962-12-31,4897428.0
1961-12-31,4742596.0
1960-12-31,4592777.0
