Date,Value
2013-12-31,12825314.0
2012-12-31,12448175.0
2011-12-31,12080037.0
2010-12-31,11720781.0
2009-12-31,11371325.0
2008-12-31,11030628.0
2007-12-31,10694366.0
2006-12-31,10356822.0
2005-12-31,10014413.0
2004-12-31,9665024.0
2003-12-31,9311234.0
2002-12-31,8959964.0
2001-12-31,8620917.0
2000-12-31,8301151.0
1999-12-31,8002899.0
1998-12-31,7724316.0
1997-12-31,7463347.0
1996-12-31,7216321.0
1995-12-31,6980351.0
1994-12-31,6755540.0
1993-12-31,6542419.0
1992-12-31,6338934.0
1991-12-31,6142558.0
1990-12-31,5951574.0
1989-12-31,5764631.0
1988-12-31,5582282.0
1987-12-31,5407077.0
1986-12-31,5242737.0
1985-12-31,5091809.0
1984-12-31,4954649.0
1983-12-31,4829852.0
1982-12-31,4715985.0
1981-12-31,4610917.0
1980-12-31,4512758.0
1979-12-31,4421416.0
1978-12-31,4336366.0
1977-12-31,4254762.0
1976-12-31,4173072.0
1975-12-31,4088858.0
1974-12-31,4000505.0
1973-12-31,3908721.0
1972-12-31,3816295.0
1971-12-31,3727381.0
1970-12-31,3644911.0
1969-12-31,3569777.0
1968-12-31,3500777.0
1967-12-31,3436227.0
1966-12-31,3373563.0
1965-12-31,3310921.0
1964-12-31,3247798.0
1963-12-31,3184775.0
1962-12-31,3122357.0
1961-12-31,3061423.0
1960-12-31,3002596.0
