Date,Value
2013-12-31,6816982.0
2012-12-31,6642928.0
2011-12-31,6472304.0
2010-12-31,6306014.0
2009-12-31,6144457.0
2008-12-31,5987491.0
2007-12-31,5834806.0
2006-12-31,5685845.0
2005-12-31,5540214.0
2004-12-31,5397851.0
2003-12-31,5258956.0
2002-12-31,5123674.0
2001-12-31,4992225.0
2000-12-31,4864753.0
1999-12-31,4740974.0
1998-12-31,4620710.0
1997-12-31,4504291.0
1996-12-31,4392177.0
1995-12-31,4284497.0
1994-12-31,4181481.0
1993-12-31,4082422.0
1992-12-31,3985364.0
1991-12-31,3887716.0
1990-12-31,3787602.0
1989-12-31,3684782.0
1988-12-31,3579803.0
1987-12-31,3472650.0
1986-12-31,3363537.0
1985-12-31,3252995.0
1984-12-31,3140297.0
1983-12-31,3026308.0
1982-12-31,2915098.0
1981-12-31,2812051.0
1980-12-31,2720838.0
1979-12-31,2642853.0
1978-12-31,2576477.0
1977-12-31,2518572.0
1976-12-31,2464459.0
1975-12-31,2410446.0
1974-12-31,2356623.0
1973-12-31,2303345.0
1972-12-31,2247575.0
1971-12-31,2185661.0
1970-12-31,2115521.0
1969-12-31,2034909.0
1968-12-31,1945781.0
1967-12-31,1855445.0
1966-12-31,1774029.0
1965-12-31,1708632.0
1964-12-31,1662072.0
1963-12-31,1631763.0
1962-12-31,1612758.0
1961-12-31,1597528.0
1960-12-31,1580513.0
