Date,Value
2013-12-31,67010502.0
2012-12-31,66785001.0
2011-12-31,66576332.0
2010-12-31,66402316.0
2009-12-31,66277335.0
2008-12-31,66185340.0
2007-12-31,66076927.0
2006-12-31,65883961.0
2005-12-31,65559487.0
2004-12-31,65087400.0
2003-12-31,64488338.0
2002-12-31,63797841.0
2001-12-31,63069070.0
2000-12-31,62343379.0
1999-12-31,61623143.0
1998-12-31,60903042.0
1997-12-31,60206941.0
1996-12-31,59562136.0
1995-12-31,58983954.0
1994-12-31,58491145.0
1993-12-31,58069612.0
1992-12-31,57661001.0
1991-12-31,57184324.0
1990-12-31,56582726.0
1989-12-31,55833321.0
1988-12-31,54956736.0
1987-12-31,53993052.0
1986-12-31,53003237.0
1985-12-31,52031925.0
1984-12-31,51090390.0
1983-12-31,50165305.0
1982-12-31,49247430.0
1981-12-31,48319564.0
1980-12-31,47369137.0
1979-12-31,46397977.0
1978-12-31,45412214.0
1977-12-31,44408422.0
1976-12-31,43382444.0
1975-12-31,42332566.0
1974-12-31,41257648.0
1973-12-31,40162277.0
1972-12-31,39057780.0
1971-12-31,37959301.0
1970-12-31,36878580.0
1969-12-31,35820705.0
1968-12-31,34785711.0
1967-12-31,33774079.0
1966-12-31,32784476.0
1965-12-31,31816307.0
1964-12-31,30870998.0
1963-12-31,29951191.0
1962-12-31,29058659.0
1961-12-31,28195264.0
1960-12-31,27362310.0
