Date,Value
2013-12-31,8207834.0
2012-12-31,8008990.0
2011-12-31,7814850.0
2010-12-31,7627326.0
2009-12-31,7447396.0
2008-12-31,7275252.0
2007-12-31,7111025.0
2006-12-31,6954522.0
2005-12-31,6805655.0
2004-12-31,6663929.0
2003-12-31,6529609.0
2002-12-31,6404118.0
2001-12-31,6289340.0
2000-12-31,6186152.0
1999-12-31,6094661.0
1998-12-31,6012933.0
1997-12-31,5937177.0
1996-12-31,5862347.0
1995-12-31,5784330.0
1994-12-31,5702611.0
1993-12-31,5616797.0
1992-12-31,5523207.0
1991-12-31,5417554.0
1990-12-31,5297286.0
1989-12-31,5160375.0
1988-12-31,5008827.0
1987-12-31,4849253.0
1986-12-31,4690913.0
1985-12-31,4540688.0
1984-12-31,4400743.0
1983-12-31,4269775.0
1982-12-31,4146923.0
1981-12-31,4030104.0
1980-12-31,3917642.0
1979-12-31,3809991.0
1978-12-31,3707624.0
1977-12-31,3608761.0
1976-12-31,3511050.0
1975-12-31,3412819.0
1974-12-31,3313144.0
1973-12-31,3212446.0
1972-12-31,3112041.0
1971-12-31,3013956.0
1970-12-31,2919586.0
1969-12-31,2829641.0
1968-12-31,2743461.0
1967-12-31,2659452.0
1966-12-31,2575335.0
1965-12-31,2489648.0
1964-12-31,2401598.0
1963-12-31,2312193.0
1962-12-31,2223956.0
1961-12-31,2140413.0
1960-12-31,2064035.0
