Date,Value
2013-12-31,5240072.0
2012-12-31,5172931.0
2011-12-31,5106668.0
2010-12-31,5041995.0
2009-12-31,4978962.0
2008-12-31,4917543.0
2007-12-31,4858236.0
2006-12-31,4801595.0
2005-12-31,4747839.0
2004-12-31,4696876.0
2003-12-31,4648037.0
2002-12-31,4600171.0
2001-12-31,4551762.0
2000-12-31,4501419.0
1999-12-31,4449427.0
1998-12-31,4395293.0
1997-12-31,4335991.0
1996-12-31,4267690.0
1995-12-31,4188010.0
1994-12-31,4095512.0
1993-12-31,3991917.0
1992-12-31,3881973.0
1991-12-31,3772350.0
1990-12-31,3668000.0
1989-12-31,3570558.0
1988-12-31,3479088.0
1987-12-31,3392823.0
1986-12-31,3310059.0
1985-12-31,3229499.0
1984-12-31,3151262.0
1983-12-31,3075867.0
1982-12-31,3002785.0
1981-12-31,2931343.0
1980-12-31,2861000.0
1979-12-31,2791575.0
1978-12-31,2723006.0
1977-12-31,2655036.0
1976-12-31,2587417.0
1975-12-31,2520002.0
1974-12-31,2452528.0
1973-12-31,2385039.0
1972-12-31,2318070.0
1971-12-31,2252386.0
1970-12-31,2188499.0
1969-12-31,2126749.0
1968-12-31,2066889.0
1967-12-31,2008148.0
1966-12-31,1949425.0
1965-12-31,1890000.0
1964-12-31,1829697.0
1963-12-31,1769008.0
1962-12-31,1708711.0
1961-12-31,1649914.0
1960-12-31,1593501.0
