Date,Value
2013-12-31,1178252.0
2012-12-31,1148958.0
2011-12-31,1120392.0
2010-12-31,1066409.0
2009-12-31,1049156.0
2008-12-31,1032182.0
2007-12-31,1015482.0
2006-12-31,999053.0
2005-12-31,982889.0
2004-12-31,966987.0
2003-12-31,933369.0
2002-12-31,899367.0
2001-12-31,871353.0
2000-12-31,853585.0
1999-12-31,848230.0
1998-12-31,853069.0
1997-12-31,862622.0
1996-12-31,869024.0
1995-12-31,866700.0
1994-12-31,853716.0
1993-12-31,832053.0
1992-12-31,804803.0
1991-12-31,776772.0
1990-12-31,751488.0
1989-12-31,730158.0
1988-12-31,711794.0
1987-12-31,695175.0
1986-12-31,678277.0
1985-12-31,659876.0
1984-12-31,638938.0
1983-12-31,616650.0
1982-12-31,596572.0
1981-12-31,583567.0
1980-12-31,580730.0
1979-12-31,589862.0
1978-12-31,608878.0
1977-12-31,632227.0
1976-12-31,652114.0
1975-12-31,662981.0
1974-12-31,662803.0
1973-12-31,653367.0
1972-12-31,637603.0
1971-12-31,620138.0
1970-12-31,604392.0
1969-12-31,591077.0
1968-12-31,579192.0
1967-12-31,568447.0
1966-12-31,558117.0
1965-12-31,547688.0
1964-12-31,537285.0
1963-12-31,527291.0
1962-12-31,517704.0
1961-12-31,508504.0
1960-12-31,499681.0
