Date,Value
2013-12-31,105323.0
2012-12-31,104941.0
2011-12-31,104554.0
2010-12-31,104098.0
2009-12-31,103557.0
2008-12-31,102947.0
2007-12-31,102289.0
2006-12-31,101617.0
2005-12-31,100960.0
2004-12-31,100319.0
2003-12-31,99691.0
2002-12-31,99083.0
2001-12-31,98504.0
2000-12-31,97962.0
1999-12-31,97457.0
1998-12-31,96991.0
1997-12-31,96574.0
1996-12-31,96218.0
1995-12-31,95928.0
1994-12-31,95712.0
1993-12-31,95560.0
1992-12-31,95443.0
1991-12-31,95321.0
1990-12-31,95165.0
1989-12-31,94952.0
1988-12-31,94687.0
1987-12-31,94403.0
1986-12-31,94149.0
1985-12-31,93953.0
1984-12-31,93838.0
1983-12-31,93774.0
1982-12-31,93682.0
1981-12-31,93451.0
1980-12-31,93007.0
1979-12-31,92300.0
1978-12-31,91361.0
1977-12-31,90296.0
1976-12-31,89258.0
1975-12-31,88347.0
1974-12-31,87609.0
1973-12-31,86985.0
1972-12-31,86349.0
1971-12-31,85520.0
1970-12-31,84370.0
1969-12-31,82879.0
1968-12-31,81096.0
1967-12-31,79048.0
1966-12-31,76787.0
1965-12-31,74363.0
1964-12-31,71757.0
1963-12-31,69000.0
1962-12-31,66255.0
1961-12-31,63740.0
1960-12-31,61600.0
