Date,Value
2013-12-31,1341151.0
2012-12-31,1337439.0
2011-12-31,1333082.0
2010-12-31,1328095.0
2009-12-31,1322518.0
2008-12-31,1316449.0
2007-12-31,1310040.0
2006-12-31,1303478.0
2005-12-31,1296933.0
2004-12-31,1290379.0
2003-12-31,1283868.0
2002-12-31,1277723.0
2001-12-31,1272347.0
2000-12-31,1267980.0
1999-12-31,1264781.0
1998-12-31,1262544.0
1997-12-31,1260677.0
1996-12-31,1258365.0
1995-12-31,1255001.0
1994-12-31,1250316.0
1993-12-31,1244410.0
1992-12-31,1237486.0
1991-12-31,1229906.0
1990-12-31,1221904.0
1989-12-31,1213625.0
1988-12-31,1204890.0
1987-12-31,1195243.0
1986-12-31,1184053.0
1985-12-31,1170935.0
1984-12-31,1155701.0
1983-12-31,1138673.0
1982-12-31,1120610.0
1981-12-31,1102562.0
1980-12-31,1085308.0
1979-12-31,1069199.0
1978-12-31,1054109.0
1977-12-31,1039757.0
1976-12-31,1025655.0
1975-12-31,1011487.0
1974-12-31,997052.0
1973-12-31,982594.0
1972-12-31,968742.0
1971-12-31,956364.0
1970-12-31,945996.0
1969-12-31,937846.0
1968-12-31,931466.0
1967-12-31,925918.0
1966-12-31,919902.0
1965-12-31,912419.0
1964-12-31,903272.0
1963-12-31,892571.0
1962-12-31,880019.0
1961-12-31,865356.0
1960-12-31,848481.0
