Date,Value
2013-12-31,10886500.0
2012-12-31,10777500.0
2011-12-31,10673800.0
2010-12-31,10549100.0
2009-12-31,10439600.0
2008-12-31,10328900.0
2007-12-31,10225100.0
2006-12-31,10127900.0
2005-12-31,10029000.0
2004-12-31,9932400.0
2003-12-31,9839800.0
2002-12-31,9781900.0
2001-12-31,9673600.0
2000-12-31,9563500.0
1999-12-31,9455900.0
1998-12-31,9333300.0
1997-12-31,9215000.0
1996-12-31,9089300.0
1995-12-31,8957500.0
1994-12-31,8815400.0
1993-12-31,8657400.0
1992-12-31,8489900.0
1991-12-31,8318200.0
1990-12-31,8154400.0
1989-12-31,7958694.0
1988-12-31,7857619.0
1987-12-31,7684751.0
1986-12-31,7492633.0
1985-12-31,7260361.0
1984-12-31,7042550.0
1983-12-31,6905136.0
1982-12-31,6729178.0
1981-12-31,6555185.0
1980-12-31,6384000.0
1979-12-31,6215690.0
1978-12-31,6049539.0
1977-12-31,5889693.0
1976-12-31,5742339.0
1975-12-31,5611000.0
1974-12-31,5493722.0
1973-12-31,5388709.0
1972-12-31,5294325.0
1971-12-31,5208154.0
1970-12-31,5127000.0
1969-12-31,5031211.0
1968-12-31,4933131.0
1967-12-31,4832923.0
1966-12-31,4731395.0
1965-12-31,4630000.0
1964-12-31,4530835.0
1963-12-31,4436643.0
1962-12-31,4350811.0
1961-12-31,4277371.0
1960-12-31,4220701.0
