Date,Value
2013-12-31,74932641.0
2012-12-31,73997128.0
2011-12-31,73058638.0
2010-12-31,72137546.0
2009-12-31,71241080.0
2008-12-31,70363511.0
2007-12-31,69496513.0
2006-12-31,68626337.0
2005-12-31,67743052.0
2004-12-31,66845635.0
2003-12-31,65938265.0
2002-12-31,65022300.0
2001-12-31,64100297.0
2000-12-31,63174483.0
1999-12-31,62243779.0
1998-12-31,61308204.0
1997-12-31,60372413.0
1996-12-31,59442502.0
1995-12-31,58522320.0
1994-12-31,57613441.0
1993-12-31,56713073.0
1992-12-31,55815175.0
1991-12-31,54911233.0
1990-12-31,53994605.0
1989-12-31,53065801.0
1988-12-31,52125597.0
1987-12-31,51168270.0
1986-12-31,50186914.0
1985-12-31,49178079.0
1984-12-31,48138191.0
1983-12-31,47072603.0
1982-12-31,45997940.0
1981-12-31,44936836.0
1980-12-31,43905790.0
1979-12-31,42912350.0
1978-12-31,41953105.0
1977-12-31,41020211.0
1976-12-31,40100696.0
1975-12-31,39185637.0
1974-12-31,38272701.0
1973-12-31,37366922.0
1972-12-31,36475356.0
1971-12-31,35608079.0
1970-12-31,34772031.0
1969-12-31,33969201.0
1968-12-31,33196289.0
1967-12-31,32448404.0
1966-12-31,31718266.0
1965-12-31,31000167.0
1964-12-31,30292969.0
1963-12-31,29597047.0
1962-12-31,28909985.0
1961-12-31,28229291.0
1960-12-31,27553280.0
