Date,Value
2013-12-31,9876.0
2012-12-31,9860.0
2011-12-31,9844.0
2010-12-31,9827.0
2009-12-31,9808.0
2008-12-31,9788.0
2007-12-31,9764.0
2006-12-31,9732.0
2005-12-31,9694.0
2004-12-31,9646.0
2003-12-31,9590.0
2002-12-31,9530.0
2001-12-31,9471.0
2000-12-31,9419.0
1999-12-31,9374.0
1998-12-31,9334.0
1997-12-31,9298.0
1996-12-31,9264.0
1995-12-31,9227.0
1994-12-31,9188.0
1993-12-31,9148.0
1992-12-31,9103.0
1991-12-31,9056.0
1990-12-31,9004.0
1989-12-31,8949.0
1988-12-31,8889.0
1987-12-31,8821.0
1986-12-31,8741.0
1985-12-31,8648.0
1984-12-31,8537.0
1983-12-31,8413.0
1982-12-31,8284.0
1981-12-31,8160.0
1980-12-31,8051.0
1979-12-31,7959.0
1978-12-31,7883.0
1977-12-31,7816.0
1976-12-31,7752.0
1975-12-31,7685.0
1974-12-31,7613.0
1973-12-31,7538.0
1972-12-31,7459.0
1971-12-31,7379.0
1970-12-31,7296.0
1969-12-31,7213.0
1968-12-31,7128.0
1967-12-31,7037.0
1966-12-31,6935.0
1965-12-31,6819.0
1964-12-31,6687.0
1963-12-31,6542.0
1962-12-31,6391.0
1961-12-31,6242.0
1960-12-31,6104.0
