Date,Value
2013-12-31,49253126.0
2012-12-31,47783107.0
2011-12-31,46354607.0
2010-12-31,44973330.0
2009-12-31,43639752.0
2008-12-31,42353790.0
2007-12-31,41119693.0
2006-12-31,39942347.0
2005-12-31,38824384.0
2004-12-31,37765139.0
2003-12-31,36760831.0
2002-12-31,35806497.0
2001-12-31,34895398.0
2000-12-31,34020512.0
1999-12-31,33183093.0
1998-12-31,32378333.0
1997-12-31,31586039.0
1996-12-31,30780453.0
1995-12-31,29944302.0
1994-12-31,29067333.0
1993-12-31,28157055.0
1992-12-31,27236099.0
1991-12-31,26337403.0
1990-12-31,25484814.0
1989-12-31,24685791.0
1988-12-31,23933171.0
1987-12-31,23218477.0
1986-12-31,22527517.0
1985-12-31,21849853.0
1984-12-31,21183696.0
1983-12-31,20532688.0
1982-12-31,19898033.0
1981-12-31,19282215.0
1980-12-31,18686808.0
1979-12-31,18111999.0
1978-12-31,17556181.0
1977-12-31,17017107.0
1976-12-31,16491793.0
1975-12-31,15978207.0
1974-12-31,15475026.0
1973-12-31,14983047.0
1972-12-31,14504939.0
1971-12-31,14044585.0
1970-12-31,13604627.0
1969-12-31,13185844.0
1968-12-31,12786833.0
1967-12-31,12405366.0
1966-12-31,12038204.0
1965-12-31,11682873.0
1964-12-31,11338544.0
1963-12-31,11005491.0
1962-12-31,10683653.0
1961-12-31,10373284.0
1960-12-31,10074490.0
