Date,Value
2013-12-31,37578876.0
2012-12-31,36345860.0
2011-12-31,35148064.0
2010-12-31,33987213.0
2009-12-31,32864328.0
2008-12-31,31778799.0
2007-12-31,30728747.0
2006-12-31,29711397.0
2005-12-31,28724869.0
2004-12-31,27766986.0
2003-12-31,26838428.0
2002-12-31,25943441.0
2001-12-31,25088033.0
2000-12-31,24275641.0
1999-12-31,23507800.0
1998-12-31,22780451.0
1997-12-31,22084527.0
1996-12-31,21407693.0
1995-12-31,20740726.0
1994-12-31,20081152.0
1993-12-31,19430461.0
1992-12-31,18788440.0
1991-12-31,18156095.0
1990-12-31,17534839.0
1989-12-31,16922648.0
1988-12-31,16320417.0
1987-12-31,15736176.0
1986-12-31,15180721.0
1985-12-31,14661481.0
1984-12-31,14181630.0
1983-12-31,13738114.0
1982-12-31,13324390.0
1981-12-31,12930714.0
1980-12-31,12549779.0
1979-12-31,12178512.0
1978-12-31,11818135.0
1977-12-31,11470628.0
1976-12-31,11139632.0
1975-12-31,10827097.0
1974-12-31,10533820.0
1973-12-31,10256553.0
1972-12-31,9988441.0
1971-12-31,9720388.0
1970-12-31,9446024.0
1969-12-31,9162794.0
1968-12-31,8872890.0
1967-12-31,8580647.0
1966-12-31,8292751.0
1965-12-31,8014376.0
1964-12-31,7746181.0
1963-12-31,7487412.0
1962-12-31,7240155.0
1961-12-31,7006629.0
1960-12-31,6788211.0
