Date,Value
2013-12-31,45489600.0
2012-12-31,45593300.0
2011-12-31,45706100.0
2010-12-31,45870700.0
2009-12-31,46053300.0
2008-12-31,46258200.0
2007-12-31,46509350.0
2006-12-31,46787750.0
2005-12-31,47105150.0
2004-12-31,47451600.0
2003-12-31,47812950.0
2002-12-31,48202500.0
2001-12-31,48683865.0
2000-12-31,49175848.0
1999-12-31,49673350.0
1998-12-31,50143939.0
1997-12-31,50594105.0
1996-12-31,51057189.0
1995-12-31,51512299.0
1994-12-31,51921041.0
1993-12-31,52179210.0
1992-12-31,52150266.0
1991-12-31,52000470.0
1990-12-31,51892000.0
1989-12-31,51773000.0
1988-12-31,51521000.0
1987-12-31,51293000.0
1986-12-31,51097000.0
1985-12-31,50917000.0
1984-12-31,50754000.0
1983-12-31,50564000.0
1982-12-31,50384000.0
1981-12-31,50221000.0
1980-12-31,49973757.0
1979-12-31,49755806.0
1978-12-31,49530219.0
1977-12-31,49292500.0
1976-12-31,49036548.0
1975-12-31,48758333.0
1974-12-31,48454371.0
1973-12-31,48126562.0
1972-12-31,47782683.0
1971-12-31,47433774.0
1970-12-31,47086954.0
1969-12-31,46746974.0
1968-12-31,46409304.0
1967-12-31,46060661.0
1966-12-31,45682418.0
1965-12-31,45261976.0
1964-12-31,44794336.0
1963-12-31,44285898.0
1962-12-31,43749474.0
1961-12-31,43203646.0
1960-12-31,42662162.0
