Date,Value
2013-12-31,3407062.0
2012-12-31,3395253.0
2011-12-31,3383486.0
2010-12-31,3371982.0
2009-12-31,3360431.0
2008-12-31,3348898.0
2007-12-31,3338384.0
2006-12-31,3330217.0
2005-12-31,3325155.0
2004-12-31,3323822.0
2003-12-31,3325411.0
2002-12-31,3327500.0
2001-12-31,3326762.0
2000-12-31,3320841.0
1999-12-31,3308884.0
1998-12-31,3291677.0
1997-12-31,3270549.0
1996-12-31,3247585.0
1995-12-31,3224383.0
1994-12-31,3201235.0
1993-12-31,3177867.0
1992-12-31,3154657.0
1991-12-31,3131936.0
1990-12-31,3109941.0
1989-12-31,3088980.0
1988-12-31,3069112.0
1987-12-31,3049987.0
1986-12-31,3031053.0
1985-12-31,3011918.0
1984-12-31,2992644.0
1983-12-31,2973436.0
1982-12-31,2954236.0
1981-12-31,2934985.0
1980-12-31,2915735.0
1979-12-31,2896016.0
1978-12-31,2876019.0
1977-12-31,2857218.0
1976-12-31,2841603.0
1975-12-31,2830378.0
1974-12-31,2824291.0
1973-12-31,2822306.0
1972-12-31,2821645.0
1971-12-31,2818462.0
1970-12-31,2809981.0
1969-12-31,2795223.0
1968-12-31,2774949.0
1967-12-31,2750273.0
1966-12-31,2723055.0
1965-12-31,2694714.0
1964-12-31,2665561.0
1963-12-31,2635294.0
1962-12-31,2604042.0
1961-12-31,2571834.0
1960-12-31,2538779.0
